fraud_id,transaction_id,fraud_type,detection_method,report_date,resolution_status,loss_amount
30,8247,Smishing,Manual Review,2023-06-15,Resolved,19495.85
31,8249,Chargeback Fraud,Customer Complaint,2025-08-14,Closed,589.89
32,8252,Identity Theft,Manual Review,2021-02-06,Closed,992.21
33,8256,Phishing,Customer Complaint,2024-10-16,Investigating,10486.04
34,65,Smishing,Manual Review,2021-03-20,Resolved,21628.73
35,67,Phishing,AI Alert,2019-01-05,Investigating,22428.28
36,8260,Phishing,Manual Review,2025-04-19,Investigating,26472.74
37,8261,Identity Theft,Manual Review,2025-07-25,Resolved,3520.14
38,69,Smishing,Manual Review,2020-07-16,Investigating,32.87
39,8259,Chargeback Fraud,Manual Review,2021-09-22,Closed,7347.85
40,70,Smishing,Customer Complaint,2025-04-30,Investigating,11630.41
41,8267,Smishing,Manual Review,2023-08-21,Investigating,14468.66
42,8270,Vishing,AI Alert,2024-02-16,Closed,11433.47
43,8271,Account Takeover,Customer Complaint,2024-11-02,Resolved,23654.72
44,8273,Identity Theft,Manual Review,2020-05-18,Resolved,13093.17
45,81,Card Cloning,AI Alert,2024-06-18,Investigating,35391.85
46,83,Identity Theft,Customer Complaint,2019-07-03,Resolved,11150.61
47,87,Chargeback Fraud,AI Alert,2020-10-04,Closed,5320.65
48,8284,Chargeback Fraud,Customer Complaint,2020-01-13,Investigating,14644.63
49,93,Account Takeover,Customer Complaint,2021-04-10,Resolved,16525.92
50,94,Card Cloning,AI Alert,2019-08-26,Investigating,2218.69
51,96,Vishing,AI Alert,2021-09-16,Investigating,11251.81
52,8289,Account Takeover,Customer Complaint,2019-10-30,Closed,18168.58
53,98,Vishing,AI Alert,2020-03-26,Investigating,11654.76
54,97,Account Takeover,Manual Review,2024-05-05,Resolved,16148.71
55,8293,Account Takeover,Customer Complaint,2019-03-01,Resolved,2191.09
56,8294,Identity Theft,Customer Complaint,2021-08-18,Closed,13869.39
57,107,Smishing,Manual Review,2019-03-18,Investigating,24187.71
58,108,Phishing,AI Alert,2023-01-03,Resolved,6328.7
59,109,Identity Theft,AI Alert,2025-06-26,Resolved,19703.49
60,110,Account Takeover,AI Alert,2023-04-24,Resolved,9195.4
61,8300,Chargeback Fraud,Customer Complaint,2025-01-26,Closed,3513.97
62,114,Chargeback Fraud,Customer Complaint,2024-07-29,Investigating,14900.86
63,8311,Account Takeover,AI Alert,2025-03-01,Investigating,10781.93
64,120,Account Takeover,Manual Review,2022-07-09,Closed,4911.74
65,8313,Vishing,AI Alert,2023-09-03,Closed,14740.54
66,8320,Identity Theft,Customer Complaint,2022-09-24,Resolved,97.62
67,131,Phishing,Manual Review,2019-12-23,Investigating,10093.1
68,134,Card Cloning,AI Alert,2022-10-27,Resolved,5914.3
69,12214,Smishing,Customer Complaint,2022-07-19,Resolved,19607.43
70,8338,Phishing,AI Alert,2021-07-03,Investigating,2729.9
71,145,Vishing,Manual Review,2019-08-18,Investigating,3774.51
72,148,Card Cloning,Manual Review,2025-04-15,Investigating,6691.73
73,149,Phishing,Customer Complaint,2019-08-06,Investigating,9361.91
74,150,Phishing,Customer Complaint,2021-08-12,Closed,7524.88
75,8345,Identity Theft,AI Alert,2023-01-26,Investigating,3207.13
76,8347,Chargeback Fraud,Manual Review,2022-05-10,Resolved,8349.37
77,156,Phishing,AI Alert,2019-11-03,Investigating,3864.09
78,8353,Smishing,AI Alert,2022-09-10,Investigating,391.59
79,162,Account Takeover,Customer Complaint,2023-05-31,Resolved,1949.35
80,8354,Smishing,Customer Complaint,2025-05-15,Investigating,14835.77
81,8358,Chargeback Fraud,Manual Review,2020-08-13,Investigating,4416.74
82,8359,Vishing,AI Alert,2019-11-04,Investigating,5269.26
83,167,Vishing,Manual Review,2020-01-21,Closed,1399.03
84,169,Smishing,Manual Review,2020-04-12,Investigating,15526.63
85,8362,Card Cloning,AI Alert,2025-04-18,Closed,3170.48
86,170,Phishing,Customer Complaint,2023-04-19,Investigating,4598.48
87,174,Smishing,Manual Review,2021-07-05,Closed,11088.64
88,175,Identity Theft,Customer Complaint,2023-05-04,Resolved,4014.79
89,176,Chargeback Fraud,Customer Complaint,2025-09-29,Resolved,419.43
90,8367,Account Takeover,Customer Complaint,2021-06-10,Closed,15583.42
91,8374,Chargeback Fraud,Customer Complaint,2019-06-12,Investigating,1041.55
92,184,Smishing,Manual Review,2021-12-26,Investigating,11835.81
93,185,Card Cloning,AI Alert,2020-04-01,Resolved,13705.01
94,8379,Chargeback Fraud,Manual Review,2020-04-02,Closed,24046.44
95,188,Card Cloning,AI Alert,2024-08-10,Closed,4339.01
96,8387,Card Cloning,Manual Review,2023-04-20,Resolved,4588.15
97,199,Vishing,AI Alert,2024-06-15,Investigating,12215.31
98,201,Account Takeover,Customer Complaint,2020-05-21,Closed,21427.34
99,8394,Smishing,Manual Review,2025-01-13,Investigating,1528.37
100,8395,Phishing,Manual Review,2024-04-12,Resolved,5461.6
101,8396,Card Cloning,Manual Review,2023-12-13,Investigating,633.25
102,203,Smishing,AI Alert,2025-10-01,Closed,25745.75
103,8402,Account Takeover,Manual Review,2024-02-05,Resolved,14802.24
104,12160,Account Takeover,Customer Complaint,2024-05-16,Closed,8616.82
105,212,Chargeback Fraud,Customer Complaint,2022-08-13,Investigating,4390.1
106,217,Phishing,AI Alert,2023-10-30,Resolved,9566.7
107,219,Vishing,AI Alert,2019-05-06,Closed,4489.42
108,8412,Vishing,Manual Review,2023-12-19,Investigating,12132.24
109,8418,Account Takeover,AI Alert,2019-12-02,Resolved,2798.47
110,12177,Card Cloning,Manual Review,2021-01-04,Resolved,456.72
111,232,Phishing,AI Alert,2024-11-10,Investigating,13515.46
112,8428,Phishing,Customer Complaint,2021-09-12,Resolved,14069.44
113,8430,Vishing,Customer Complaint,2019-06-16,Investigating,12191.27
114,8439,Chargeback Fraud,Manual Review,2023-12-02,Closed,3195.85
115,250,Chargeback Fraud,AI Alert,2021-07-22,Closed,2601.04
116,8443,Card Cloning,Manual Review,2021-12-26,Resolved,14932.24
117,255,Phishing,Customer Complaint,2019-05-29,Closed,13193.25
118,8451,Card Cloning,AI Alert,2022-08-15,Resolved,23899.58
119,263,Account Takeover,Customer Complaint,2021-05-04,Resolved,9920.19
120,12065,Phishing,Customer Complaint,2021-12-03,Closed,3934.15
121,268,Identity Theft,AI Alert,2025-08-15,Closed,15207.43
122,269,Chargeback Fraud,Customer Complaint,2019-10-08,Investigating,6605.9
123,8462,Vishing,Manual Review,2025-02-20,Investigating,965.59
124,8468,Chargeback Fraud,Manual Review,2023-12-24,Investigating,11245.34
125,276,Chargeback Fraud,Manual Review,2020-03-14,Investigating,22048.95
126,8472,Smishing,Customer Complaint,2023-10-06,Closed,12600.42
127,283,Vishing,Manual Review,2023-06-06,Resolved,9367.22
128,286,Phishing,Customer Complaint,2024-06-20,Resolved,12005.76
129,287,Chargeback Fraud,Manual Review,2020-12-14,Investigating,24112.56
130,289,Vishing,Customer Complaint,2021-08-13,Closed,11309.89
131,8484,Identity Theft,Customer Complaint,2021-08-16,Investigating,982.57
132,296,Vishing,AI Alert,2022-04-16,Closed,5558.17
133,8489,Phishing,AI Alert,2022-12-03,Closed,15654.98
134,301,Identity Theft,AI Alert,2024-10-22,Closed,6257.58
135,8493,Card Cloning,AI Alert,2024-12-27,Investigating,4609.41
136,305,Vishing,Manual Review,2025-09-18,Closed,8084.01
137,8498,Identity Theft,AI Alert,2021-03-02,Closed,24897.02
138,8499,Account Takeover,Manual Review,2022-05-15,Resolved,5483.68
139,309,Phishing,Manual Review,2020-02-18,Investigating,2464.72
140,314,Smishing,Manual Review,2019-06-14,Resolved,327.51
141,12229,Smishing,Manual Review,2023-10-02,Investigating,11693.67
142,319,Identity Theft,AI Alert,2021-01-31,Resolved,13128.18
143,8515,Vishing,Customer Complaint,2024-06-16,Closed,18213.68
144,324,Vishing,Manual Review,2020-02-16,Closed,22987.9
145,8516,Identity Theft,AI Alert,2019-02-25,Resolved,3056.58
146,323,Vishing,AI Alert,2025-09-19,Investigating,26396.6
147,8520,Vishing,Customer Complaint,2021-02-02,Resolved,3495.82
148,329,Account Takeover,Customer Complaint,2022-10-23,Investigating,3328.96
149,8522,Phishing,Manual Review,2024-12-03,Closed,13784.48
150,330,Vishing,Manual Review,2022-07-14,Closed,11866.14
151,8533,Vishing,Manual Review,2022-06-11,Resolved,5472.82
152,343,Vishing,AI Alert,2024-05-09,Investigating,17111.28
153,8537,Phishing,Manual Review,2024-05-11,Investigating,21094.13
154,8538,Chargeback Fraud,Manual Review,2025-01-11,Resolved,9600.19
155,8540,Phishing,Manual Review,2019-12-16,Investigating,9234.72
156,356,Identity Theft,AI Alert,2019-10-28,Closed,22592.32
157,8552,Card Cloning,Manual Review,2020-08-04,Investigating,1593.34
158,361,Chargeback Fraud,Customer Complaint,2020-02-13,Investigating,1923.16
159,8553,Card Cloning,AI Alert,2021-03-26,Resolved,4450.1
160,8558,Vishing,Manual Review,2019-06-28,Closed,11852.86
161,371,Account Takeover,Customer Complaint,2023-02-28,Closed,4184.93
162,8571,Identity Theft,Manual Review,2022-10-24,Resolved,8751.52
163,380,Card Cloning,AI Alert,2019-11-29,Closed,12064.57
164,385,Card Cloning,AI Alert,2023-06-06,Investigating,7803.5
165,8584,Phishing,AI Alert,2024-02-10,Closed,4059.44
166,8589,Account Takeover,Customer Complaint,2020-12-12,Closed,18101.59
167,399,Chargeback Fraud,AI Alert,2024-10-11,Resolved,17377.5
168,8592,Phishing,AI Alert,2020-10-08,Closed,7084.1
169,8603,Smishing,AI Alert,2019-07-19,Investigating,7025.97
170,414,Card Cloning,AI Alert,2019-01-12,Closed,3294.6
171,8610,Account Takeover,AI Alert,2019-01-02,Closed,3456.33
172,8612,Identity Theft,AI Alert,2024-01-16,Investigating,18002.88
173,421,Card Cloning,Customer Complaint,2024-04-29,Closed,1982.32
174,422,Identity Theft,Manual Review,2021-07-21,Investigating,4028.77
175,8621,Chargeback Fraud,Manual Review,2025-10-03,Closed,5352.68
176,431,Vishing,AI Alert,2019-01-12,Resolved,1088.98
177,8623,Identity Theft,AI Alert,2025-03-07,Investigating,13093.77
178,8624,Card Cloning,Manual Review,2024-04-14,Resolved,1391.64
179,436,Phishing,Customer Complaint,2023-09-28,Closed,4705.46
180,8629,Phishing,AI Alert,2023-06-06,Investigating,16386.35
181,438,Identity Theft,Manual Review,2020-02-10,Resolved,17399.14
182,439,Account Takeover,Manual Review,2023-06-12,Resolved,768.75
183,8634,Chargeback Fraud,AI Alert,2021-05-04,Resolved,264.15
184,8639,Phishing,Customer Complaint,2020-11-12,Investigating,202.9
185,8642,Card Cloning,AI Alert,2019-06-26,Investigating,11284.2
186,8645,Phishing,Customer Complaint,2020-10-14,Resolved,6323.39
187,454,Account Takeover,AI Alert,2022-07-25,Resolved,6326.34
188,456,Chargeback Fraud,Manual Review,2019-05-10,Closed,10692.11
189,8651,Smishing,Manual Review,2021-11-13,Investigating,17122.74
190,8655,Identity Theft,Customer Complaint,2020-02-18,Investigating,9547.09
191,8656,Account Takeover,Manual Review,2021-11-19,Investigating,26161.11
192,465,Chargeback Fraud,AI Alert,2022-02-17,Resolved,22394.53
193,8661,Account Takeover,AI Alert,2022-05-26,Resolved,15782.68
194,473,Smishing,AI Alert,2020-07-09,Closed,18191.33
195,475,Chargeback Fraud,AI Alert,2024-08-17,Closed,14890.13
196,476,Account Takeover,Customer Complaint,2020-06-22,Resolved,21650.18
197,478,Chargeback Fraud,AI Alert,2023-02-14,Investigating,2462.25
198,8671,Vishing,AI Alert,2019-01-29,Investigating,5057.19
199,8672,Identity Theft,Manual Review,2019-10-09,Investigating,23645.85
200,481,Chargeback Fraud,Customer Complaint,2022-06-25,Closed,13919.03
201,480,Chargeback Fraud,AI Alert,2024-02-22,Investigating,1065.89
202,482,Identity Theft,AI Alert,2020-02-07,Closed,7623.06
203,8670,Account Takeover,Customer Complaint,2023-11-24,Closed,11535.65
204,488,Smishing,AI Alert,2023-07-07,Investigating,13815.35
205,500,Card Cloning,AI Alert,2025-05-16,Closed,4803.65
206,8693,Account Takeover,Manual Review,2025-10-27,Investigating,4985.78
207,8694,Card Cloning,Manual Review,2021-04-26,Investigating,17934.98
208,8697,Vishing,Customer Complaint,2024-05-30,Closed,4102.94
209,8699,Vishing,Manual Review,2021-03-01,Closed,7717.89
210,8700,Chargeback Fraud,Manual Review,2025-05-11,Closed,23046.0
211,8702,Chargeback Fraud,Customer Complaint,2021-11-18,Investigating,17256.8
212,8703,Phishing,Customer Complaint,2019-08-07,Resolved,17343.7
213,8709,Chargeback Fraud,Manual Review,2023-03-16,Resolved,3552.11
214,518,Vishing,AI Alert,2019-07-11,Investigating,6848.07
215,520,Identity Theft,AI Alert,2023-01-26,Resolved,12813.05
216,8721,Account Takeover,Manual Review,2022-08-13,Resolved,10000.15
217,8722,Chargeback Fraud,AI Alert,2025-02-20,Resolved,3090.35
218,540,Account Takeover,Manual Review,2019-05-09,Closed,10343.02
219,542,Vishing,AI Alert,2022-01-08,Investigating,14890.2
220,551,Phishing,Manual Review,2024-04-30,Closed,2796.8
221,8743,Vishing,Customer Complaint,2020-03-22,Closed,17890.36
222,555,Account Takeover,Manual Review,2025-02-12,Resolved,4645.29
223,8748,Chargeback Fraud,Customer Complaint,2022-11-10,Resolved,11565.35
224,559,Phishing,Customer Complaint,2023-12-03,Closed,16698.29
225,560,Account Takeover,Manual Review,2023-10-13,Resolved,14096.05
226,562,Smishing,AI Alert,2024-04-27,Resolved,3578.79
227,8757,Smishing,AI Alert,2024-04-11,Closed,3306.95
228,8760,Smishing,Manual Review,2019-01-02,Closed,3230.76
229,569,Vishing,AI Alert,2022-05-04,Resolved,15775.7
230,8767,Account Takeover,AI Alert,2023-11-04,Resolved,6054.09
231,8769,Smishing,AI Alert,2019-10-13,Resolved,2789.37
232,579,Chargeback Fraud,Manual Review,2025-02-03,Investigating,7780.21
233,583,Smishing,Manual Review,2025-03-27,Closed,60.62
234,8780,Phishing,AI Alert,2023-02-23,Investigating,5402.38
235,8784,Account Takeover,Customer Complaint,2024-04-13,Resolved,3323.4
236,594,Account Takeover,AI Alert,2020-05-25,Closed,16355.1
237,595,Chargeback Fraud,AI Alert,2019-04-18,Investigating,12084.5
238,8786,Chargeback Fraud,Customer Complaint,2020-09-25,Closed,11104.38
239,8789,Smishing,Customer Complaint,2022-05-17,Investigating,550.5
240,8792,Vishing,Manual Review,2023-12-15,Closed,20530.17
241,601,Account Takeover,AI Alert,2023-10-21,Resolved,12858.32
242,8793,Card Cloning,AI Alert,2023-10-14,Investigating,6283.81
243,605,Account Takeover,Customer Complaint,2021-11-17,Resolved,1479.1
244,8798,Smishing,AI Alert,2025-10-21,Closed,4725.41
245,8799,Phishing,Manual Review,2021-07-24,Resolved,7043.4
246,609,Phishing,Customer Complaint,2024-12-12,Resolved,2215.34
247,610,Chargeback Fraud,Customer Complaint,2021-08-09,Investigating,35464.2
248,8805,Smishing,AI Alert,2019-10-19,Closed,6476.68
249,8808,Chargeback Fraud,AI Alert,2025-03-07,Resolved,587.58
250,8810,Vishing,Manual Review,2019-05-20,Closed,8807.87
251,12146,Account Takeover,Customer Complaint,2025-10-02,Resolved,10408.03
252,620,Smishing,Manual Review,2025-08-27,Closed,6394.33
253,621,Card Cloning,Customer Complaint,2021-03-22,Resolved,13704.27
254,622,Account Takeover,Manual Review,2024-08-27,Resolved,3801.5
255,8814,Identity Theft,Manual Review,2022-12-31,Closed,9846.39
256,8816,Account Takeover,Customer Complaint,2023-07-12,Closed,2309.5
257,625,Account Takeover,Customer Complaint,2021-09-08,Investigating,2328.93
258,623,Chargeback Fraud,AI Alert,2024-07-19,Investigating,3177.68
259,627,Smishing,Manual Review,2021-03-08,Closed,15343.29
260,8812,Phishing,Customer Complaint,2025-07-30,Closed,8849.87
261,8822,Phishing,AI Alert,2020-11-25,Resolved,6577.3
262,8823,Chargeback Fraud,Manual Review,2022-01-27,Investigating,11781.31
263,8824,Card Cloning,AI Alert,2021-11-05,Resolved,8312.26
264,8827,Vishing,AI Alert,2024-04-17,Investigating,14058.18
265,638,Vishing,Manual Review,2024-12-27,Investigating,16899.99
266,8831,Chargeback Fraud,Customer Complaint,2025-03-27,Closed,2409.82
267,641,Vishing,Customer Complaint,2025-10-27,Resolved,27003.65
268,642,Account Takeover,Manual Review,2024-02-12,Closed,4798.07
269,643,Account Takeover,Manual Review,2024-02-11,Investigating,28646.39
270,8839,Chargeback Fraud,Customer Complaint,2024-07-14,Investigating,9576.48
271,656,Card Cloning,AI Alert,2022-05-10,Investigating,5214.59
272,662,Account Takeover,Manual Review,2025-08-20,Investigating,171.71
273,8855,Vishing,Manual Review,2019-04-20,Resolved,18587.02
274,8857,Phishing,Manual Review,2021-03-15,Investigating,4308.28
275,670,Chargeback Fraud,Manual Review,2025-06-07,Closed,16152.52
276,8868,Account Takeover,Customer Complaint,2023-05-07,Investigating,38307.1
277,677,Vishing,Customer Complaint,2024-07-30,Investigating,1105.0
278,681,Account Takeover,AI Alert,2021-05-02,Closed,5713.6
279,8876,Phishing,Manual Review,2021-12-15,Investigating,10927.09
280,684,Account Takeover,Manual Review,2025-06-22,Closed,20679.8
281,687,Vishing,Customer Complaint,2021-11-11,Closed,12119.84
282,8880,Identity Theft,Customer Complaint,2022-11-21,Closed,2089.96
283,8882,Account Takeover,AI Alert,2019-12-24,Closed,12952.69
284,8892,Identity Theft,AI Alert,2021-08-05,Closed,3271.05
285,700,Card Cloning,Customer Complaint,2024-08-01,Investigating,5692.53
286,8894,Smishing,Customer Complaint,2021-02-02,Resolved,2721.64
287,8896,Chargeback Fraud,Manual Review,2023-04-29,Closed,21512.65
288,710,Vishing,Manual Review,2024-02-20,Resolved,1447.33
289,712,Chargeback Fraud,Manual Review,2024-05-19,Closed,3180.76
290,8907,Smishing,Manual Review,2021-10-21,Closed,9331.23
291,718,Smishing,Customer Complaint,2024-07-05,Resolved,6417.93
292,719,Account Takeover,AI Alert,2020-11-04,Resolved,2935.55
293,8914,Smishing,Customer Complaint,2022-10-11,Closed,13390.61
294,723,Account Takeover,Customer Complaint,2021-06-03,Closed,13066.59
295,722,Identity Theft,Customer Complaint,2019-03-31,Investigating,8735.38
296,8918,Identity Theft,AI Alert,2019-11-10,Investigating,11274.85
297,728,Vishing,AI Alert,2021-08-05,Resolved,112.33
298,729,Account Takeover,Manual Review,2022-11-21,Closed,13415.06
299,8922,Card Cloning,Customer Complaint,2022-02-02,Closed,15290.65
300,732,Phishing,Manual Review,2019-11-03,Closed,19733.06
301,8925,Phishing,Manual Review,2025-02-15,Investigating,11235.27
302,8929,Card Cloning,Customer Complaint,2025-07-15,Investigating,552.01
303,738,Account Takeover,AI Alert,2021-08-12,Closed,2296.04
304,8935,Card Cloning,Manual Review,2023-08-02,Investigating,24850.55
305,744,Chargeback Fraud,AI Alert,2024-07-06,Closed,12252.99
306,746,Chargeback Fraud,Customer Complaint,2025-07-22,Investigating,287.7
307,747,Identity Theft,Customer Complaint,2020-02-16,Closed,5068.16
308,749,Phishing,AI Alert,2021-03-19,Investigating,1937.99
309,8941,Card Cloning,AI Alert,2024-07-26,Closed,5310.68
310,8943,Chargeback Fraud,Manual Review,2024-12-06,Resolved,1733.29
311,8944,Account Takeover,Customer Complaint,2019-10-27,Resolved,34870.17
312,8946,Card Cloning,Customer Complaint,2024-06-15,Closed,11757.0
313,757,Chargeback Fraud,AI Alert,2020-04-01,Investigating,2376.05
314,761,Chargeback Fraud,AI Alert,2021-07-20,Investigating,6895.43
315,8955,Account Takeover,Customer Complaint,2024-03-04,Closed,25431.19
316,8959,Card Cloning,Manual Review,2025-04-26,Investigating,4044.43
317,8962,Smishing,AI Alert,2023-07-13,Closed,3793.0
318,8964,Card Cloning,AI Alert,2022-09-27,Closed,2653.75
319,774,Card Cloning,Manual Review,2021-04-10,Resolved,5827.85
320,8969,Smishing,AI Alert,2021-07-28,Closed,70.26
321,781,Smishing,Customer Complaint,2025-09-05,Closed,9715.98
322,8973,Account Takeover,Customer Complaint,2024-09-13,Closed,4100.97
323,783,Card Cloning,Customer Complaint,2025-03-05,Closed,3498.3
324,786,Vishing,Customer Complaint,2024-05-27,Resolved,2798.41
325,8981,Vishing,AI Alert,2025-10-04,Investigating,10551.51
326,793,Vishing,Customer Complaint,2022-06-25,Closed,7547.87
327,8988,Phishing,Manual Review,2024-08-30,Resolved,12405.88
328,8994,Chargeback Fraud,Manual Review,2020-08-02,Investigating,3314.18
329,802,Card Cloning,Manual Review,2024-01-04,Resolved,211.62
330,804,Phishing,Manual Review,2022-12-29,Investigating,10028.32
331,807,Identity Theft,AI Alert,2022-09-13,Investigating,2126.12
332,9004,Card Cloning,Manual Review,2025-05-06,Investigating,12414.78
333,818,Chargeback Fraud,Manual Review,2023-08-19,Resolved,16287.08
334,819,Smishing,AI Alert,2024-08-06,Resolved,11772.75
335,9013,Vishing,Manual Review,2022-01-07,Investigating,7155.29
336,822,Chargeback Fraud,Customer Complaint,2024-10-28,Resolved,10556.1
337,832,Smishing,Manual Review,2019-06-02,Resolved,18427.08
338,9033,Card Cloning,Manual Review,2023-10-08,Closed,3889.49
339,844,Smishing,AI Alert,2019-11-26,Closed,10994.53
340,9037,Smishing,Manual Review,2020-12-07,Resolved,17418.38
341,846,Smishing,AI Alert,2024-07-15,Closed,25893.13
342,851,Account Takeover,Manual Review,2023-03-14,Closed,16786.97
343,9045,Card Cloning,Customer Complaint,2023-02-21,Resolved,5007.37
344,854,Account Takeover,AI Alert,2020-10-21,Investigating,19907.64
345,855,Vishing,Manual Review,2020-06-25,Closed,11735.29
346,856,Identity Theft,Manual Review,2024-08-09,Closed,405.96
347,857,Phishing,Manual Review,2024-12-30,Resolved,30550.51
348,858,Smishing,Manual Review,2020-01-26,Closed,3810.32
349,9051,Account Takeover,Manual Review,2020-02-13,Investigating,2117.17
350,862,Chargeback Fraud,Customer Complaint,2024-06-29,Resolved,9491.31
351,867,Phishing,Manual Review,2024-05-02,Closed,5332.7
352,9059,Identity Theft,Customer Complaint,2020-10-15,Resolved,22770.19
353,878,Identity Theft,AI Alert,2023-10-14,Closed,21849.51
354,9073,Smishing,AI Alert,2025-07-18,Closed,11119.69
355,881,Account Takeover,Customer Complaint,2021-12-27,Investigating,7978.34
356,883,Chargeback Fraud,Customer Complaint,2025-07-13,Resolved,3063.89
357,9074,Card Cloning,Customer Complaint,2021-05-21,Resolved,22007.29
358,884,Chargeback Fraud,AI Alert,2024-02-13,Investigating,13521.39
359,9084,Vishing,AI Alert,2022-05-10,Closed,2418.58
360,892,Identity Theft,Customer Complaint,2025-03-30,Investigating,14490.63
361,9087,Chargeback Fraud,Manual Review,2025-10-10,Closed,2247.05
362,895,Vishing,Manual Review,2020-05-27,Investigating,17340.63
363,9089,Vishing,Customer Complaint,2019-03-15,Investigating,15563.62
364,9094,Phishing,Customer Complaint,2023-03-01,Resolved,17295.87
365,9100,Identity Theft,Manual Review,2023-08-03,Investigating,8457.6
366,9104,Phishing,AI Alert,2020-07-01,Closed,1202.58
367,913,Phishing,Customer Complaint,2019-12-27,Investigating,7822.4
368,917,Smishing,Manual Review,2024-07-19,Resolved,2572.02
369,9112,Chargeback Fraud,Customer Complaint,2019-10-25,Investigating,11334.38
370,9113,Phishing,AI Alert,2024-08-10,Investigating,14921.77
371,9114,Identity Theft,Customer Complaint,2021-10-27,Investigating,7809.16
372,927,Card Cloning,Manual Review,2019-01-21,Investigating,7709.93
373,9120,Card Cloning,AI Alert,2024-07-19,Investigating,26676.25
374,930,Smishing,Manual Review,2024-02-11,Closed,5643.1
375,9122,Smishing,Manual Review,2020-10-07,Closed,8068.92
376,9124,Smishing,Manual Review,2019-03-31,Investigating,9193.43
377,933,Account Takeover,Customer Complaint,2023-07-16,Closed,35102.36
378,12066,Phishing,AI Alert,2024-10-21,Investigating,37043.26
379,938,Phishing,Customer Complaint,2021-02-27,Resolved,6749.68
380,939,Smishing,Customer Complaint,2024-11-10,Investigating,6315.24
381,9131,Chargeback Fraud,Customer Complaint,2023-04-26,Resolved,11483.21
382,9133,Chargeback Fraud,Manual Review,2020-05-09,Closed,8040.61
383,9136,Account Takeover,Customer Complaint,2019-04-16,Resolved,14437.78
384,9139,Account Takeover,Customer Complaint,2019-06-22,Investigating,5638.31
385,12218,Card Cloning,Customer Complaint,2021-10-15,Closed,9441.37
386,9148,Card Cloning,Customer Complaint,2020-12-09,Investigating,6481.98
387,957,Phishing,Manual Review,2020-01-27,Resolved,6962.25
388,958,Phishing,Manual Review,2020-02-08,Closed,7868.49
389,9150,Card Cloning,Customer Complaint,2019-10-23,Resolved,6425.42
390,962,Identity Theft,AI Alert,2021-12-28,Closed,1621.82
391,9154,Chargeback Fraud,AI Alert,2024-02-20,Resolved,6596.61
392,967,Identity Theft,AI Alert,2024-10-19,Closed,11567.75
393,9160,Identity Theft,Customer Complaint,2022-11-13,Closed,2732.78
394,968,Phishing,Customer Complaint,2022-01-14,Closed,6215.65
395,972,Smishing,Manual Review,2021-08-31,Closed,9135.49
396,9165,Smishing,Manual Review,2021-09-21,Resolved,11269.97
397,974,Chargeback Fraud,Customer Complaint,2023-10-08,Investigating,1163.42
398,978,Chargeback Fraud,Customer Complaint,2022-05-04,Resolved,5359.28
399,12178,Phishing,Manual Review,2020-10-04,Investigating,9243.65
400,9175,Smishing,AI Alert,2022-11-01,Investigating,10047.16
401,9176,Card Cloning,Manual Review,2025-02-27,Investigating,12166.03
402,9177,Identity Theft,Manual Review,2020-01-13,Closed,5854.64
403,9179,Phishing,AI Alert,2022-06-20,Closed,5008.11
404,992,Identity Theft,AI Alert,2019-07-06,Closed,2888.44
405,9187,Vishing,AI Alert,2022-10-22,Resolved,16868.53
