transaction_id,account_id,transaction_date,transaction_type,amount,channel,is_fraud
31,369,2018-06-30 17:45:32,Debit,9792.99,Branch,0
32,5889,2019-08-18 00:00:00,POS,997.05,POS,0
33,2929,2021-07-22 00:00:00,UPI,8954.88,ATM,0
34,2317,2025-06-29 00:00:00,Online Transfer,5160.98,UPI,0
35,5825,2024-05-23 17:19:42,UPI,5367.3,ATM,0
36,1458,2019-08-23 10:22:28,POS,6161.86,Branch,0
37,4730,2021-03-12 21:24:45,ATM Withdrawal,1316.71,POS,0
38,1804,2020-10-19 18:22:13,Credit,8369.06,Online,0
39,5222,2021-06-22 04:32:17,UPI,1340.38,ATM,1
40,1673,2018-10-04 00:00:00,ATM Withdrawal,5315.07,POS,0
41,3816,2022-01-08 23:25:03,POS,1474.54,Online,0
42,5455,2020-02-12 19:13:00,POS,2048.65,ATM,0
43,6509,2023-12-24 20:11:38,Credit,377.48,Branch,0
44,6367,2019-07-08 00:00:00,Online Transfer,2276.99,ATM,0
45,4439,2025-01-22 18:41:58,Credit,5431.05,ATM,0
46,6101,2025-02-13 16:52:00,ATM Withdrawal,8043.98,UPI,0
47,2660,2022-10-27 14:16:24,Credit,144.22,Online,0
48,1724,2025-01-14 00:05:00,UPI,882.27,Online,0
49,4933,2023-01-03 07:33:00,POS,607.59,Online,0
50,3274,2018-10-20 12:47:14,POS,508.89,ATM,0
51,148,2024-02-22 00:00:00,POS,7811.79,UPI,0
52,2031,2021-11-24 13:44:33,Credit,9026.53,ATM,0
53,3069,2019-08-19 04:30:22,POS,2777.44,Online,0
54,2547,2024-08-28 08:32:26,Online Transfer,1895.4,POS,1
55,6795,2018-08-08 09:41:00,ATM Withdrawal,3613.8,POS,0
56,4026,2023-09-10 16:12:07,Credit,4273.44,Online,0
57,4979,2024-12-03 17:22:42,POS,7875.85,ATM,1
58,1590,2019-12-02 16:31:21,UPI,3808.87,UPI,0
59,5685,2024-12-02 00:00:00,Credit,1796.8,UPI,0
60,2337,2023-03-11 00:00:00,POS,7952.73,Branch,0
61,4603,2021-08-26 17:56:51,ATM Withdrawal,6485.03,POS,0
62,6255,2018-04-01 23:30:20,ATM Withdrawal,10027.42,POS,0
63,1162,2023-05-20 00:00:00,Debit,10332.23,UPI,0
64,5407,2023-06-20 00:00:00,Online Transfer,14822.0,Online,0
65,2930,2022-08-26 00:00:00,UPI,1258.41,POS,0
66,873,2019-06-25 02:29:52,Credit,8447.66,UPI,0
67,1905,2024-02-15 00:00:00,POS,8453.3,Branch,0
68,5404,2018-05-13 12:47:31,Online Transfer,2554.6,POS,0
69,4299,2019-04-30 05:13:52,ATM Withdrawal,5468.42,POS,0
70,393,2018-04-29 00:00:00,Online Transfer,1759.4,Online,0
71,4820,2018-10-25 19:09:14,Credit,4491.71,UPI,0
72,4426,2020-04-03 00:00:00,ATM Withdrawal,5178.14,Online,0
73,1258,2025-10-05 00:00:00,Debit,1532.38,Online,0
74,1814,2021-06-17 13:58:52,Debit,4979.28,POS,1
75,2215,2021-12-01 22:34:28,POS,1553.41,POS,0
76,4886,2023-01-16 15:31:40,Online Transfer,39.26,Branch,0
77,4248,2022-10-23 17:46:02,Debit,2006.15,UPI,0
78,735,2018-06-05 02:13:56,Online Transfer,3551.51,UPI,0
79,6146,2021-12-04 16:45:29,POS,17032.09,ATM,0
80,2033,2023-08-23 04:31:23,POS,10757.29,UPI,0
81,4627,2024-08-06 01:30:00,ATM Withdrawal,1922.94,Online,0
82,2349,2019-02-20 15:47:38,ATM Withdrawal,2217.21,UPI,0
83,6130,2018-12-08 00:00:00,UPI,10506.33,POS,0
84,6780,2023-03-22 17:39:34,ATM Withdrawal,11546.62,Online,1
85,3866,2022-07-30 02:29:05,Online Transfer,6258.51,Branch,0
86,2190,2024-12-22 00:50:09,UPI,5474.62,POS,0
87,2666,2025-04-25 08:59:23,UPI,3768.28,Online,0
88,2237,2019-06-11 00:00:00,UPI,1974.51,Online,0
89,2928,2019-03-25 10:49:00,ATM Withdrawal,500.19,ATM,0
90,3611,2018-09-05 09:32:30,UPI,3736.57,Online,0
91,708,2024-01-11 04:57:32,Online Transfer,7871.65,Online,0
92,471,2021-02-11 06:14:59,Credit,2007.22,ATM,0
93,3536,2018-06-18 00:00:00,UPI,8499.74,ATM,0
94,5497,2024-02-13 00:00:00,Debit,4084.74,POS,0
95,3927,2018-01-08 07:24:12,ATM Withdrawal,8780.4,ATM,1
96,1062,2024-09-02 21:08:40,POS,8475.54,Online,0
97,3115,2020-11-07 16:59:13,UPI,310.56,ATM,0
98,5322,2023-01-30 05:17:56,Online Transfer,2278.42,ATM,0
99,4494,2022-10-07 08:15:43,POS,7056.25,Branch,0
100,6288,2025-01-12 00:00:00,UPI,3727.28,Online,0
101,4417,2021-06-07 23:15:12,POS,4924.75,Online,0
102,5050,2018-03-30 20:22:01,POS,9559.85,Branch,0
103,196,2018-12-31 11:46:56,Debit,12501.22,Online,0
104,3933,2020-07-16 05:00:42,UPI,3259.48,Online,1
105,621,2024-09-28 19:00:11,Credit,330.89,Online,1
106,5980,2025-02-04 19:43:24,UPI,391.23,ATM,1
107,4598,2025-09-11 00:00:00,ATM Withdrawal,8269.42,Online,0
108,6470,2020-01-30 23:29:17,Credit,386.55,POS,0
109,2766,2020-07-10 02:08:15,Online Transfer,610.63,ATM,0
110,5242,2022-11-07 00:00:00,UPI,4801.21,ATM,0
111,2743,2022-10-05 07:46:54,Debit,1775.07,Online,0
112,4354,2024-08-25 00:00:00,UPI,7304.1,UPI,0
113,4699,2020-06-28 06:25:25,ATM Withdrawal,5006.55,UPI,0
114,3931,2021-01-06 11:51:07,UPI,1265.91,POS,0
115,4627,2023-07-16 06:26:59,Credit,12343.9,POS,1
116,5899,2023-04-17 00:00:00,Debit,2402.55,Online,0
117,2752,2024-11-06 01:10:02,Online Transfer,5044.11,ATM,0
118,5197,2022-09-24 19:16:45,UPI,6246.94,Online,0
119,3656,2018-05-25 07:33:38,Debit,8997.49,ATM,0
120,1399,2020-12-27 00:00:00,Debit,9240.91,ATM,1
121,1115,2020-03-31 18:42:20,UPI,2638.92,UPI,0
122,513,2021-06-04 00:00:00,Online Transfer,1308.18,UPI,0
123,3260,2018-07-21 00:00:00,Credit,13645.91,Online,0
124,3938,2018-10-12 22:06:01,UPI,1707.82,POS,0
125,4436,2025-09-22 14:02:27,ATM Withdrawal,6110.95,UPI,0
126,3598,2019-03-11 12:52:44,ATM Withdrawal,6826.36,UPI,0
127,3117,2021-10-07 00:05:05,UPI,1695.89,UPI,0
128,3754,2019-10-11 00:09:06,Credit,3129.96,POS,0
129,3271,2018-01-08 00:00:00,UPI,7972.5,POS,1
130,2353,2022-06-02 00:00:00,Credit,175.44,POS,0
131,210,2025-09-01 21:03:27,Debit,4472.65,ATM,1
132,6855,2023-12-10 00:00:00,Online Transfer,8173.9,POS,0
133,826,2024-05-05 00:18:21,Credit,5890.76,Branch,0
134,5314,2024-08-07 08:32:24,Online Transfer,5490.59,UPI,0
135,2403,2018-11-07 00:00:00,UPI,6540.19,POS,0
136,3502,2025-05-17 13:50:02,UPI,4224.82,POS,0
137,1661,2024-06-27 22:42:13,Debit,4811.15,Branch,0
138,5842,2024-08-01 22:41:31,POS,4956.28,UPI,0
139,925,2024-10-14 00:22:00,Online Transfer,2715.14,UPI,0
140,4410,2019-03-20 14:41:00,Debit,1817.52,ATM,0
141,1685,2024-08-05 07:55:29,POS,3199.54,Online,0
142,879,2025-07-24 00:00:00,Online Transfer,1269.35,ATM,0
143,3875,2022-08-20 07:10:12,Credit,1157.12,UPI,0
144,4048,2018-08-29 06:13:48,UPI,262.67,UPI,0
145,5349,2019-03-21 00:00:00,Online Transfer,10177.45,UPI,0
146,846,2020-02-20 00:14:13,POS,2268.76,ATM,0
147,3949,2020-08-02 18:30:31,Online Transfer,7268.33,Branch,0
148,6217,2024-12-04 16:00:43,Online Transfer,6775.94,ATM,0
149,1168,2024-10-08 01:03:46,Online Transfer,7601.74,Online,0
150,6589,2021-08-25 03:50:07,Credit,13175.54,UPI,0
151,1848,2019-07-24 13:02:13,Online Transfer,563.18,Online,0
152,4378,2023-08-05 00:00:00,POS,5302.0,UPI,0
153,1856,2021-09-27 07:41:42,Credit,8610.62,Online,0
154,4931,2019-12-04 15:32:01,ATM Withdrawal,1366.7,ATM,0
155,6934,2022-05-30 00:00:00,ATM Withdrawal,2457.35,UPI,0
156,422,2020-07-23 22:51:55,POS,8453.41,ATM,0
157,128,2022-06-16 00:00:00,ATM Withdrawal,1653.38,POS,0
158,4917,2021-07-03 06:10:42,Credit,6735.69,POS,0
159,3413,2023-03-23 19:23:46,POS,4989.51,POS,1
160,5823,2021-10-15 12:34:33,POS,6061.49,ATM,0
161,5524,2025-08-05 13:56:03,POS,3188.82,UPI,0
162,993,2020-11-23 11:29:45,POS,754.6,Online,0
163,5525,2019-11-27 04:38:22,ATM Withdrawal,9452.35,UPI,0
164,675,2019-08-16 00:00:00,Debit,9776.9,Branch,0
165,6670,2023-11-28 05:08:04,Debit,3418.21,UPI,0
166,65,2025-05-14 20:07:11,ATM Withdrawal,2266.28,UPI,0
167,4048,2018-08-16 18:20:24,ATM Withdrawal,6949.91,Online,0
168,5963,2020-02-04 05:04:13,ATM Withdrawal,519.72,Online,0
169,11,2024-06-08 23:12:58,POS,3453.98,Online,0
170,5441,2021-09-22 01:51:00,Online Transfer,878.75,UPI,0
171,1954,2023-02-24 09:20:05,POS,3453.66,POS,0
172,2484,2023-04-16 21:21:54,ATM Withdrawal,4568.72,POS,0
173,5681,2024-08-12 12:01:54,Credit,7941.29,Online,0
174,911,2025-03-07 05:48:40,Online Transfer,10504.27,POS,0
175,401,2020-02-27 00:00:00,Credit,3365.45,Branch,0
176,4429,2021-11-24 07:16:44,Credit,584.87,Online,1
177,6575,2022-10-23 14:32:55,Credit,7377.05,UPI,0
178,247,2018-12-24 00:00:00,Online Transfer,6669.56,POS,0
179,3961,2022-12-07 03:35:41,ATM Withdrawal,8577.78,ATM,1
180,1828,2022-03-19 18:35:00,POS,7858.16,ATM,0
181,4169,2023-04-01 00:00:00,POS,1065.79,POS,0
182,3948,2021-02-24 06:30:44,POS,3798.47,ATM,0
183,559,2020-06-24 22:08:48,ATM Withdrawal,11145.2,Branch,0
184,3588,2023-04-25 12:49:00,Online Transfer,2545.48,UPI,0
185,620,2021-04-27 06:36:04,UPI,6307.99,Branch,0
186,339,2023-04-06 07:46:31,Credit,2731.11,Branch,0
187,6341,2025-01-13 07:43:46,Online Transfer,11529.94,Online,0
188,6907,2024-10-16 00:00:00,Online Transfer,4440.05,ATM,1
189,4481,2022-03-18 20:22:46,POS,6840.52,POS,0
190,5255,2019-03-06 05:01:56,Credit,2062.26,ATM,0
191,2864,2025-09-26 13:11:37,UPI,3508.78,ATM,0
192,4106,2021-09-08 11:34:58,POS,824.15,ATM,0
193,3417,2018-10-20 03:12:47,POS,2986.12,UPI,0
194,6924,2020-07-04 10:33:23,Credit,6211.99,Branch,0
195,3507,2020-03-15 03:58:51,Online Transfer,5039.96,Branch,0
196,1986,2019-02-24 00:00:00,Online Transfer,3313.36,Online,0
197,5685,2025-02-17 16:57:46,ATM Withdrawal,9316.9,POS,0
198,6647,2021-04-02 06:52:04,ATM Withdrawal,3295.72,Branch,0
199,2563,2019-12-18 00:00:00,ATM Withdrawal,5981.2,Branch,0
200,2392,2024-11-05 00:00:00,Credit,4639.03,Branch,0
201,5782,2021-09-28 00:00:00,POS,6337.22,UPI,0
202,670,2022-03-23 09:23:37,ATM Withdrawal,2433.43,POS,1
203,4136,2020-12-22 07:29:30,ATM Withdrawal,1947.69,POS,0
204,3821,2020-05-28 23:31:01,UPI,5829.08,Online,0
205,2241,2024-04-08 16:15:12,Credit,275.29,Online,1
206,1086,2020-10-14 08:20:39,UPI,6317.64,Branch,0
207,2992,2019-09-29 02:03:18,ATM Withdrawal,1250.14,UPI,0
208,2422,2018-09-16 05:01:00,POS,1393.29,POS,0
209,442,2018-02-27 11:22:18,ATM Withdrawal,2658.2,POS,0
210,5237,2021-03-22 03:30:14,Debit,2790.38,Online,0
211,421,2025-06-18 23:36:15,Credit,3259.53,UPI,0
212,5303,2025-08-18 00:00:00,ATM Withdrawal,14664.15,UPI,0
213,3821,2024-01-16 16:56:00,ATM Withdrawal,3301.01,ATM,0
214,689,2023-10-29 04:07:01,POS,6803.86,UPI,0
215,13,2021-07-14 06:06:33,Online Transfer,5124.37,ATM,0
216,4248,2019-12-02 23:02:47,Online Transfer,2729.24,Branch,0
217,5194,2024-01-25 00:00:00,Credit,6378.93,Online,0
218,4308,2020-08-14 11:56:15,UPI,11522.8,ATM,0
219,6331,2019-04-23 18:57:02,POS,8315.26,POS,1
220,5840,2018-05-31 16:06:10,POS,1034.22,UPI,0
221,4596,2021-07-30 17:11:58,UPI,7735.87,UPI,0
222,2955,2021-04-26 16:04:23,Online Transfer,4103.5,POS,1
223,6066,2018-10-11 02:43:47,POS,9114.8,UPI,0
224,2098,2023-03-16 00:00:00,UPI,6638.63,UPI,0
225,419,2019-02-08 21:03:18,Credit,327.16,Branch,0
226,737,2024-06-03 00:00:00,UPI,97.25,UPI,0
227,4486,2024-12-27 00:00:00,Credit,11416.55,ATM,1
228,377,2025-03-16 18:01:00,Online Transfer,3468.62,ATM,1
229,5551,2022-06-03 19:02:03,Debit,13250.26,ATM,0
230,5725,2021-11-19 00:00:00,Online Transfer,6692.65,UPI,0
231,3581,2024-07-16 21:14:45,UPI,2621.85,Branch,0
232,2481,2018-11-09 10:36:08,Online Transfer,1957.99,Online,0
233,3981,2022-09-29 00:00:00,UPI,13259.87,Online,0
234,35,2018-09-15 22:31:08,UPI,5843.05,ATM,0
235,4608,2025-01-11 03:37:17,Online Transfer,12.59,POS,0
236,6736,2019-01-26 21:30:07,Debit,1258.69,POS,0
237,6560,2025-07-20 19:58:17,POS,11363.71,Online,0
238,1387,2019-04-19 20:45:49,Credit,5188.6,Branch,0
239,1309,2019-12-15 00:00:00,Credit,3404.03,Branch,0
240,5236,2020-07-05 00:05:30,Credit,3287.32,POS,0
241,6021,2025-04-24 22:10:24,Debit,2884.01,ATM,0
242,2354,2018-07-26 05:22:27,ATM Withdrawal,3000.84,POS,1
243,6240,2023-09-06 01:36:15,UPI,2302.04,Online,0
244,2873,2018-06-10 04:34:57,Online Transfer,5363.67,ATM,0
245,2922,2018-05-15 00:00:00,ATM Withdrawal,5145.44,UPI,0
246,3947,2019-02-22 01:38:00,Debit,7749.25,UPI,0
247,2032,2023-06-03 05:50:20,Debit,15260.33,ATM,0
248,3432,2023-12-31 00:00:00,ATM Withdrawal,2617.29,ATM,0
249,926,2024-12-21 00:00:00,Online Transfer,817.84,Branch,0
250,4621,2023-02-22 00:00:00,Online Transfer,1126.26,UPI,1
251,683,2021-08-24 00:00:00,UPI,5257.93,Branch,0
252,3183,2019-06-12 10:10:41,UPI,4217.92,ATM,0
253,66,2024-08-27 11:59:18,Online Transfer,9866.7,UPI,0
254,4290,2021-10-19 00:00:00,Online Transfer,3934.42,Branch,0
255,548,2023-08-11 20:32:18,Online Transfer,7867.88,POS,0
256,6202,2018-08-26 07:48:48,Credit,7326.27,Online,0
257,5099,2023-03-25 00:00:00,Debit,2955.89,ATM,0
258,4667,2018-01-29 00:00:00,UPI,8515.35,Branch,0
259,3157,2021-08-11 08:50:28,Debit,2304.41,Online,0
260,4633,2022-08-03 12:27:53,ATM Withdrawal,796.47,UPI,0
261,1827,2019-01-21 22:20:17,Online Transfer,6246.65,POS,1
262,5787,2019-10-31 17:29:11,UPI,4783.59,ATM,0
263,3307,2025-01-22 12:58:55,ATM Withdrawal,1500.37,UPI,1
264,658,2024-02-24 00:00:00,POS,4165.15,POS,0
265,2771,2019-02-13 00:00:00,Online Transfer,617.33,Online,0
266,2957,2018-06-17 00:00:00,POS,3808.94,UPI,0
267,1311,2018-04-08 00:00:00,UPI,3967.25,Online,0
268,4986,2020-07-19 21:00:22,Debit,4246.31,POS,0
269,2510,2024-11-12 04:45:25,POS,1483.95,UPI,0
270,3010,2025-02-25 00:00:00,Online Transfer,4598.76,UPI,0
271,2684,2020-10-23 22:22:52,POS,6994.65,POS,0
272,1561,2025-07-14 05:15:05,Debit,11588.69,Online,0
273,3427,2025-08-21 08:06:54,ATM Withdrawal,6623.15,Branch,0
274,1653,2021-10-08 00:00:00,Credit,2787.93,UPI,0
275,4619,2020-11-18 01:50:09,ATM Withdrawal,239.92,UPI,0
276,6780,2025-02-27 12:16:33,Credit,4594.44,POS,0
277,559,2023-01-30 14:33:30,POS,13428.04,UPI,0
278,5544,2021-07-01 03:15:53,ATM Withdrawal,12089.94,UPI,1
279,1786,2025-02-06 15:55:48,ATM Withdrawal,275.05,UPI,0
280,5445,2022-02-03 00:00:00,Online Transfer,351.02,Online,0
281,359,2018-08-30 10:25:21,UPI,8297.57,POS,0
282,5659,2019-01-20 00:00:00,POS,2984.81,ATM,0
283,1006,2025-05-10 00:00:00,Debit,581.13,Online,0
284,4950,2020-08-19 11:44:46,POS,3012.25,POS,0
285,6178,2021-04-02 00:00:00,POS,6176.3,POS,0
286,2613,2021-10-18 18:02:55,Online Transfer,3065.55,UPI,0
287,1663,2025-04-05 13:57:58,UPI,744.22,ATM,0
288,4650,2019-02-07 23:01:00,Online Transfer,1675.35,POS,1
289,296,2018-10-14 20:18:38,Debit,1249.71,UPI,0
290,1972,2021-01-21 00:03:33,ATM Withdrawal,1031.94,UPI,1
291,360,2020-11-22 00:00:00,Online Transfer,590.01,Online,0
292,4080,2020-11-22 15:23:44,ATM Withdrawal,13584.41,POS,0
293,1506,2019-05-13 18:42:33,Debit,1137.59,ATM,0
294,3001,2022-09-03 21:15:09,UPI,3268.27,UPI,0
295,1963,2025-10-15 00:00:00,Debit,4509.15,POS,0
296,5313,2020-09-02 00:00:00,POS,11226.16,Online,1
297,4654,2021-05-14 09:31:47,Credit,4109.4,Branch,1
298,1384,2025-03-11 05:15:36,Debit,8739.56,ATM,1
299,391,2020-01-17 02:21:34,Online Transfer,1396.55,UPI,1
300,6720,2019-11-27 09:17:09,Debit,1045.53,UPI,0
301,6844,2020-03-01 19:02:31,Credit,14261.54,Branch,0
302,6487,2024-08-07 00:00:00,POS,3541.03,UPI,0
303,5427,2019-07-04 00:00:00,Credit,7797.75,ATM,0
304,557,2023-09-28 10:04:26,Credit,1109.54,POS,0
305,5918,2023-11-14 15:56:00,Debit,12186.02,UPI,0
306,951,2019-06-18 04:09:54,Debit,2.01,UPI,1
307,896,2022-12-25 11:06:23,UPI,1242.76,Branch,0
308,3394,2019-06-29 04:11:07,Debit,7310.24,POS,0
309,6625,2022-01-24 00:00:00,POS,6296.33,UPI,0
310,6587,2024-11-29 03:37:54,UPI,5794.53,Online,0
311,583,2018-05-18 00:00:00,Online Transfer,13592.96,UPI,0
312,2679,2018-05-26 07:44:43,Debit,5411.81,UPI,0
313,21,2023-01-30 08:20:42,POS,2511.41,Branch,1
314,319,2018-12-02 22:11:54,ATM Withdrawal,10402.18,ATM,0
315,2163,2025-04-16 16:47:17,UPI,1667.19,Online,0
316,2904,2022-01-04 07:25:00,Debit,6961.35,UPI,0
317,4668,2022-10-10 10:32:10,Online Transfer,8997.38,UPI,0
318,2826,2018-07-09 13:12:02,ATM Withdrawal,6139.75,POS,0
319,6550,2023-05-17 21:16:00,Credit,2456.26,UPI,0
320,6517,2018-05-21 19:06:49,ATM Withdrawal,1526.57,Online,0
321,3768,2025-04-13 14:15:16,Debit,9413.65,Branch,0
322,788,2023-04-09 07:58:07,Debit,7699.99,Branch,0
323,939,2018-01-22 02:27:54,ATM Withdrawal,1095.57,Branch,0
324,1752,2020-11-22 19:51:19,POS,9862.94,POS,0
325,908,2021-06-08 09:33:18,UPI,8639.19,Online,0
326,173,2018-05-19 14:42:14,UPI,4140.81,Online,0
327,6802,2022-12-27 00:00:00,Debit,5203.5,UPI,0
328,5701,2024-06-08 10:40:12,Credit,2898.52,UPI,0
329,2028,2024-11-01 06:43:02,POS,3871.96,ATM,0
330,5552,2023-02-15 03:19:38,ATM Withdrawal,939.7,Online,0
331,3683,2022-09-18 18:36:20,UPI,5039.04,Online,0
332,1256,2018-05-18 07:51:09,Debit,920.11,Online,0
333,6192,2022-10-28 00:04:03,Online Transfer,1720.88,Branch,0
334,1094,2024-08-15 14:27:00,Online Transfer,6966.49,UPI,0
335,6667,2022-04-06 04:03:14,Credit,9671.78,POS,0
336,3680,2024-10-04 10:44:07,ATM Withdrawal,26.81,UPI,0
337,3907,2018-02-05 00:00:00,Credit,7814.15,ATM,0
338,1381,2024-01-23 00:00:00,POS,9921.58,Online,0
339,1735,2018-06-24 18:00:23,ATM Withdrawal,3883.17,ATM,0
340,3698,2018-03-29 00:00:00,Online Transfer,5851.68,UPI,0
341,2719,2025-03-16 17:52:53,Debit,5862.24,Online,0
342,1393,2024-08-06 09:39:09,POS,5855.8,Online,0
343,33,2024-05-07 21:58:28,POS,2067.5,Branch,0
344,4374,2018-11-08 13:33:31,UPI,717.8,Online,1
345,2251,2021-01-08 05:08:19,Debit,3865.88,Branch,0
346,3823,2019-12-07 03:20:30,ATM Withdrawal,2256.89,UPI,0
347,5281,2022-07-26 05:38:33,Debit,5906.91,ATM,0
348,2358,2022-06-10 22:22:03,POS,2705.9,POS,0
349,6373,2019-05-19 00:00:00,Online Transfer,576.07,ATM,1
350,2267,2019-05-22 06:36:39,Credit,3122.03,Branch,0
351,5837,2020-01-03 05:57:08,Credit,4562.46,ATM,0
352,2351,2019-03-23 01:31:16,UPI,6928.63,Online,0
353,1898,2021-08-28 08:05:00,Debit,7294.69,ATM,0
354,1360,2018-12-02 08:42:06,Debit,3570.19,Online,0
355,6131,2022-03-06 18:29:48,Online Transfer,2456.63,ATM,0
356,4150,2019-06-21 02:11:30,POS,862.89,Online,0
357,4848,2019-01-10 00:00:00,Online Transfer,6955.52,Online,0
358,3527,2024-12-21 00:00:00,ATM Withdrawal,1292.26,UPI,1
359,4561,2022-08-19 09:07:00,UPI,968.41,Branch,0
360,3388,2024-03-05 20:40:46,Credit,5840.05,Branch,0
361,5537,2019-03-21 19:05:37,ATM Withdrawal,3976.53,Online,1
362,5894,2018-12-12 10:39:51,POS,857.69,ATM,0
363,3472,2024-08-12 14:10:50,UPI,5572.77,POS,0
364,5268,2022-03-08 00:00:00,Online Transfer,1280.27,UPI,0
365,1492,2020-05-14 07:31:07,Debit,9647.05,UPI,0
366,3750,2024-08-04 00:00:00,ATM Withdrawal,14753.47,ATM,0
367,6948,2023-08-23 00:00:00,Debit,7167.22,UPI,0
368,5176,2019-09-07 07:11:41,POS,6672.0,UPI,1
369,490,2018-01-20 00:00:00,Credit,7293.23,Branch,0
370,789,2018-11-08 00:00:00,Online Transfer,7504.54,UPI,0
371,5558,2019-02-13 06:43:55,UPI,1499.72,UPI,0
372,5964,2023-06-05 00:00:00,UPI,2759.94,UPI,0
373,5857,2019-08-28 13:59:04,ATM Withdrawal,4549.57,ATM,0
374,5475,2021-02-08 02:49:08,POS,6530.37,Online,0
375,806,2021-05-07 00:00:00,ATM Withdrawal,5078.18,POS,0
376,6583,2020-10-10 11:02:08,Debit,7665.34,POS,0
377,677,2024-10-20 12:47:39,POS,2022.32,Branch,0
378,4416,2023-09-14 09:30:40,Online Transfer,5130.43,UPI,1
379,4475,2023-08-29 06:39:05,Debit,977.06,UPI,0
380,6732,2021-05-13 10:41:43,UPI,4702.63,Branch,0
381,3298,2022-02-25 00:00:00,ATM Withdrawal,4896.39,Branch,0
382,1863,2025-02-23 00:00:00,Debit,4787.39,POS,0
383,5072,2021-03-18 00:00:00,ATM Withdrawal,2765.11,ATM,0
384,1007,2023-05-08 15:38:46,Credit,6594.5,ATM,0
385,2544,2023-04-28 00:00:00,POS,165.29,Branch,1
386,839,2022-08-06 10:43:55,POS,6715.85,Online,0
387,176,2020-01-11 19:37:23,UPI,2385.49,UPI,0
388,1728,2023-10-31 14:09:11,Online Transfer,13539.77,POS,0
389,6548,2023-04-10 20:32:51,POS,4924.87,ATM,1
390,628,2024-02-10 22:39:11,ATM Withdrawal,1611.49,ATM,0
391,2275,2022-11-14 08:41:46,UPI,324.4,POS,0
392,2158,2021-02-21 17:13:00,Debit,2418.4,UPI,0
393,3194,2020-01-12 23:06:19,Online Transfer,6089.15,ATM,0
394,6249,2022-11-02 01:33:00,POS,2468.15,Branch,1
395,3594,2022-12-31 00:00:00,POS,8113.64,Branch,1
396,989,2020-01-18 00:00:00,UPI,6597.91,UPI,0
397,3853,2025-06-12 04:54:00,Debit,16.89,Online,0
398,160,2019-12-18 13:03:31,Online Transfer,10626.78,Branch,0
399,5122,2025-04-25 05:25:56,POS,6257.43,ATM,0
400,3538,2022-09-13 22:47:16,POS,1132.84,POS,0
401,4475,2021-06-24 00:00:00,ATM Withdrawal,7248.29,Online,0
402,6546,2025-01-06 16:31:39,Online Transfer,2375.84,POS,1
403,2584,2023-11-14 22:14:00,UPI,3240.63,Branch,0
404,3766,2019-04-16 00:00:00,Debit,9695.88,Online,0
405,1905,2023-05-02 10:59:17,Debit,14217.75,Online,0
406,4803,2018-05-25 21:32:41,Online Transfer,11757.79,UPI,0
407,4771,2025-03-22 14:13:16,ATM Withdrawal,5053.78,Branch,0
408,2485,2022-08-25 00:00:00,Online Transfer,7897.84,ATM,0
409,1176,2023-04-27 20:40:54,UPI,6527.66,Online,0
410,6759,2021-03-02 00:00:00,UPI,4353.48,Branch,0
411,6838,2019-03-08 00:00:00,POS,6183.3,Branch,1
412,1346,2020-04-06 16:24:14,Online Transfer,5514.79,ATM,0
413,4951,2020-06-23 19:50:42,Online Transfer,4594.64,UPI,0
