account_id,customer_id,branch_id,account_type,opening_date,balance,status,account_age_days
63,3825,69,Credit Card,2019-04-04,251.31,Closed,2408
64,2807,66,Loan,2020-01-25,34.93,Closed,2112
65,3211,26,Credit Card,2018-07-19,59.14,Suspended,2667
66,15,4,Savings,2012-11-27,30.92,Active,4727
67,248,193,Credit Card,2023-05-12,35.98,Closed,909
68,2680,57,Current,2024-03-31,71.48,Suspended,585
69,1146,97,Credit Card,2016-12-10,209.98,Suspended,3253
70,31,120,Savings,2023-12-15,13.23,Closed,692
71,2105,48,Loan,2018-10-12,61.65,Active,2582
72,3709,34,Current,2016-07-16,61.12,Active,3400
73,844,24,Loan,2020-11-13,38.44,Suspended,1819
74,269,79,Loan,2020-05-10,363.87,Suspended,2006
75,3651,184,Loan,2012-11-23,68.9,Active,4731
76,2171,34,Current,2018-11-01,14.79,Closed,2562
77,3348,11,Savings,2020-08-20,57.51,Closed,1904
78,4060,141,Savings,2018-02-08,58.54,Suspended,2828
79,2107,100,Loan,2019-09-26,29.37,Suspended,2233
80,2950,68,Current,2022-01-25,71.46,Closed,1381
81,1266,35,Savings,2015-09-29,104.71,Active,3691
82,251,124,Current,2022-11-02,22.44,Active,1100
83,3414,100,Current,2022-07-25,119.64,Suspended,1200
84,1817,16,Savings,2018-06-29,10.46,Suspended,2687
85,2124,4,Current,2022-12-11,24.87,Active,1061
86,2373,160,Credit Card,2017-07-27,11.89,Suspended,3024
87,2626,93,Loan,2017-04-10,111.11,Closed,3132
88,3967,160,Current,2017-11-15,67.6,Suspended,2913
89,3533,175,Current,2014-03-10,266.04,Suspended,4259
90,499,97,Credit Card,2022-02-16,70.93,Suspended,1359
91,3650,196,Savings,2017-07-25,51.39,Active,3026
92,3939,175,Loan,2018-07-16,41.29,Active,2670
93,1020,93,Credit Card,2012-05-02,7.75,Suspended,4936
94,3299,32,Credit Card,2022-11-11,28.26,Active,1091
95,2225,113,Loan,2024-12-24,16.58,Suspended,317
96,1422,185,Savings,2018-12-02,24.12,Suspended,2531
97,1239,184,Current,2025-04-27,71.24,Closed,193
98,3919,184,Loan,2023-11-04,149.56,Suspended,733
99,1299,123,Current,2015-03-17,326.36,Suspended,3887
100,697,118,Credit Card,2024-08-13,214.73,Suspended,450
101,2161,24,Credit Card,2023-05-12,135.44,Closed,909
102,1762,6,Current,2025-06-09,41.87,Active,150
103,2139,1,Savings,2016-11-20,38.0,Closed,3273
104,2018,67,Current,2015-04-05,88.59,Closed,3868
105,399,19,Credit Card,2014-04-22,52.62,Closed,4216
106,2646,73,Current,2013-03-19,116.32,Suspended,4615
107,2081,115,Loan,2015-10-07,871.06,Closed,3683
108,2994,168,Loan,2019-04-13,499.84,Active,2399
109,3993,113,Loan,2020-11-04,128.56,Active,1828
110,1468,115,Credit Card,2014-11-02,67.9,Closed,4022
111,2021,174,Savings,2024-04-10,129.84,Suspended,575
112,3256,34,Credit Card,2021-10-21,82.3,Suspended,1477
113,2250,101,Savings,2022-02-12,133.09,Closed,1363
114,1730,70,Savings,2023-03-21,130.85,Closed,961
115,2172,92,Loan,2019-05-02,125.62,Closed,2380
116,1248,74,Loan,2022-02-28,17.17,Active,1347
117,3205,141,Savings,2014-05-15,70.81,Closed,4193
118,3976,170,Loan,2014-02-01,364.77,Suspended,4296
119,1862,112,Credit Card,2021-05-15,40.08,Closed,1636
120,1641,85,Loan,2013-08-27,27.25,Closed,4454
121,3967,54,Credit Card,2022-03-14,218.91,Suspended,1333
122,3555,190,Loan,2015-04-30,43.56,Closed,3843
123,3699,127,Savings,2014-08-01,159.57,Closed,4115
124,3134,40,Loan,2019-08-20,128.36,Suspended,2270
125,2909,182,Savings,2018-03-12,79.92,Suspended,2796
126,1294,64,Credit Card,2021-11-29,210.1,Closed,1438
127,2518,14,Credit Card,2024-07-07,57.18,Active,487
128,1091,127,Savings,2025-01-21,80.66,Suspended,289
129,2232,41,Loan,2018-05-28,72.8,Active,2719
130,2763,142,Loan,2013-01-22,79.7,Suspended,4671
131,340,191,Credit Card,2012-01-30,58.73,Suspended,5029
132,215,63,Loan,2019-07-27,107.11,Suspended,2294
133,3278,130,Loan,2021-11-05,116.69,Closed,1462
134,3451,46,Current,2019-05-09,12.73,Active,2373
135,1808,116,Current,2019-10-11,478.88,Suspended,2218
136,1899,92,Credit Card,2024-12-27,25.35,Closed,314
137,860,32,Credit Card,2014-09-28,111.05,Suspended,4057
138,646,21,Savings,2021-03-21,26.65,Active,1691
139,1732,19,Loan,2017-05-04,59.63,Closed,3108
140,1617,104,Credit Card,2024-06-28,63.59,Suspended,496
141,2978,186,Savings,2016-07-03,109.77,Suspended,3413
142,1085,118,Loan,2012-07-12,31.79,Active,4865
143,3025,40,Current,2014-10-14,92.21,Active,4041
144,487,98,Current,2025-04-14,44.38,Suspended,206
145,2349,8,Savings,2013-11-20,866.42,Active,4369
146,2286,50,Credit Card,2019-04-15,53.84,Suspended,2397
147,3244,180,Loan,2014-08-03,45.61,Suspended,4113
148,3354,186,Current,2019-11-19,198.75,Suspended,2179
149,2058,48,Savings,2025-02-15,39.0,Active,264
150,3641,157,Current,2012-03-23,29.98,Closed,4976
151,3494,46,Savings,2013-02-28,44.21,Suspended,4634
152,2281,131,Savings,2024-04-27,41.58,Closed,558
153,3623,99,Savings,2020-12-09,12.65,Suspended,1793
154,1495,81,Credit Card,2019-05-26,82.01,Active,2356
155,1344,76,Current,2023-01-29,21.96,Closed,1012
156,3124,123,Loan,2014-07-23,30.34,Closed,4124
157,3043,172,Savings,2024-05-05,232.79,Active,550
158,3049,81,Savings,2024-09-21,29.79,Suspended,411
159,471,33,Loan,2017-04-04,45.78,Active,3138
160,2752,5,Credit Card,2023-02-18,36.59,Closed,992
161,3047,6,Loan,2012-09-05,3.1,Closed,4810
162,1392,133,Savings,2015-03-04,438.36,Closed,3900
163,3143,60,Credit Card,2012-05-08,167.2,Closed,4930
164,291,117,Savings,2023-09-14,52.73,Closed,784
165,2965,68,Savings,2018-04-19,36.81,Closed,2758
166,3926,61,Loan,2017-10-11,37.68,Suspended,2948
167,2085,142,Current,2025-02-23,40.53,Active,256
168,2689,90,Credit Card,2024-08-08,152.98,Active,455
169,2202,51,Loan,2022-01-25,88.01,Active,1381
170,2290,145,Credit Card,2020-03-01,173.74,Active,2076
171,3012,56,Credit Card,2018-07-19,44.96,Suspended,2667
172,3591,43,Credit Card,2012-02-01,23.26,Active,5027
173,1349,176,Credit Card,2020-03-25,51.47,Suspended,2052
174,486,56,Credit Card,2015-01-02,84.55,Closed,3961
175,4013,57,Savings,2020-03-04,129.63,Suspended,2073
176,3163,65,Credit Card,2025-01-20,407.98,Closed,290
177,2568,42,Current,2012-07-09,33.12,Closed,4868
178,607,76,Current,2016-10-24,27.49,Active,3300
179,890,3,Savings,2023-02-21,37.6,Active,989
180,1140,124,Loan,2015-03-17,7.36,Closed,3887
181,3504,74,Credit Card,2025-05-15,231.67,Closed,175
182,3919,184,Loan,2013-05-04,53.14,Suspended,4569
183,2743,55,Current,2015-07-22,25.94,Closed,3760
184,881,107,Savings,2016-04-24,43.15,Closed,3483
185,3238,34,Savings,2012-10-01,17.47,Suspended,4784
186,1145,107,Current,2013-02-25,52.86,Suspended,4637
187,2805,122,Credit Card,2022-01-08,105.99,Suspended,1398
188,1500,115,Credit Card,2012-10-12,248.61,Closed,4773
189,1645,166,Credit Card,2018-02-14,280.7,Active,2822
190,2235,56,Loan,2016-05-10,16.03,Active,3467
191,2680,44,Savings,2017-07-27,308.48,Suspended,3024
192,326,17,Current,2016-11-20,452.38,Active,3273
193,2495,82,Credit Card,2025-02-13,116.85,Closed,266
194,1511,126,Loan,2013-06-01,294.11,Suspended,4541
195,2682,74,Loan,2013-06-12,44.58,Suspended,4530
196,2659,43,Loan,2020-12-13,49.96,Active,1789
197,1902,104,Credit Card,2014-03-26,168.64,Closed,4243
198,3825,29,Loan,2021-10-12,43.42,Closed,1486
199,3885,157,Credit Card,2021-01-24,187.17,Active,1747
200,908,53,Credit Card,2020-04-04,576.0,Suspended,2042
201,3873,55,Current,2015-06-04,150.84,Closed,3808
202,3926,82,Credit Card,2023-03-10,97.99,Closed,972
203,3225,47,Credit Card,2015-04-04,94.04,Active,3869
204,3267,12,Current,2018-04-17,361.14,Active,2760
205,133,129,Credit Card,2020-08-14,34.27,Suspended,1910
206,2832,115,Savings,2016-10-25,68.67,Suspended,3299
207,1268,90,Credit Card,2014-12-16,27.14,Suspended,3978
208,3536,177,Current,2012-09-02,63.97,Suspended,4813
209,2694,78,Credit Card,2015-02-04,41.08,Suspended,3928
210,1900,65,Savings,2021-03-14,152.87,Suspended,1698
211,184,67,Loan,2016-07-03,101.05,Suspended,3413
212,3251,5,Loan,2015-05-30,103.29,Closed,3813
213,1498,128,Current,2015-03-09,51.64,Closed,3895
214,3751,133,Savings,2023-12-13,111.72,Active,694
215,875,121,Loan,2021-05-21,69.97,Suspended,1630
216,2368,70,Loan,2018-03-18,122.37,Closed,2790
217,2246,99,Loan,2017-07-11,39.06,Suspended,3040
218,1672,37,Loan,2025-04-09,160.44,Closed,211
219,3466,53,Loan,2024-11-10,163.27,Active,361
220,2742,67,Loan,2019-05-16,29.68,Closed,2366
221,1512,99,Current,2024-09-17,178.06,Active,415
222,2607,61,Loan,2023-03-13,452.05,Suspended,969
223,2913,146,Savings,2020-01-15,66.43,Suspended,2122
224,2656,120,Savings,2017-07-25,201.73,Active,3026
225,4017,43,Current,2020-10-11,41.14,Closed,1852
226,216,120,Savings,2023-06-01,11.06,Closed,889
227,243,172,Loan,2024-04-04,33.68,Active,581
228,1072,47,Savings,2022-10-08,64.78,Closed,1125
229,1206,175,Loan,2019-12-17,246.92,Suspended,2151
230,407,19,Credit Card,2020-07-16,568.07,Suspended,1939
231,1251,40,Loan,2019-06-27,123.77,Closed,2324
232,1124,32,Credit Card,2013-11-12,19.73,Active,4377
233,5,121,Loan,2012-07-28,43.77,Active,4849
234,534,142,Savings,2022-06-15,41.43,Suspended,1240
235,944,69,Savings,2016-07-21,51.89,Suspended,3395
236,2371,47,Savings,2014-09-28,48.78,Suspended,4057
237,3414,143,Savings,2015-04-26,162.26,Suspended,3847
238,1327,191,Loan,2022-07-13,94.25,Closed,1212
239,1556,74,Credit Card,2018-03-03,18.44,Suspended,2805
240,1658,138,Credit Card,2021-11-26,149.35,Suspended,1441
241,441,195,Current,2019-06-17,45.69,Closed,2334
242,1208,92,Credit Card,2014-11-27,203.11,Suspended,3997
243,3610,109,Current,2015-10-15,60.62,Suspended,3675
244,2147,104,Current,2012-04-07,56.86,Suspended,4961
245,2753,99,Loan,2014-02-13,53.58,Active,4284
246,2949,129,Current,2014-11-28,44.91,Suspended,3996
247,1948,27,Credit Card,2014-11-15,208.35,Active,4009
248,3957,156,Current,2013-12-29,15.04,Active,4330
249,2298,101,Loan,2014-03-05,59.32,Closed,4264
250,2322,138,Savings,2022-09-23,121.42,Active,1140
251,3644,69,Credit Card,2019-07-01,251.41,Suspended,2320
252,2453,167,Loan,2015-01-17,177.48,Closed,3946
253,1926,121,Current,2016-10-27,137.63,Suspended,3297
254,2071,14,Loan,2018-10-21,96.27,Closed,2573
255,189,190,Current,2025-05-21,145.05,Closed,169
256,1508,199,Savings,2020-11-11,74.53,Suspended,1821
257,3988,195,Loan,2013-03-07,91.86,Suspended,4627
258,3193,151,Loan,2016-08-31,88.54,Suspended,3354
259,933,157,Current,2017-05-24,142.33,Active,3088
260,3352,77,Current,2025-10-22,48.64,Suspended,15
261,3189,8,Savings,2017-12-02,108.63,Closed,2896
262,133,120,Credit Card,2025-01-29,66.49,Active,281
263,2811,47,Savings,2012-05-05,36.33,Closed,4933
264,1319,182,Credit Card,2015-04-11,72.94,Suspended,3862
265,3312,137,Current,2014-04-08,51.27,Suspended,4230
266,3383,131,Credit Card,2020-06-01,68.1,Closed,1984
267,3775,78,Current,2015-01-29,23.56,Active,3934
268,202,23,Savings,2021-12-04,625.77,Closed,1433
269,3589,125,Loan,2025-01-07,30.59,Closed,303
270,919,184,Savings,2023-05-02,140.7,Active,919
271,3641,2,Current,2023-06-13,76.48,Suspended,877
272,2212,31,Savings,2020-12-21,427.47,Suspended,1781
273,4051,148,Savings,2022-11-28,29.75,Closed,1074
274,2432,26,Current,2016-10-06,25.35,Closed,3318
275,2556,148,Savings,2021-06-04,71.06,Active,1616
276,612,62,Current,2018-12-01,90.62,Suspended,2532
277,1799,179,Credit Card,2020-09-05,282.61,Active,1888
278,991,32,Savings,2025-02-24,76.87,Active,255
279,2010,17,Loan,2024-08-25,59.83,Closed,438
280,3868,43,Credit Card,2014-02-25,57.75,Active,4272
281,77,77,Credit Card,2014-06-13,49.47,Active,4164
282,677,63,Loan,2024-01-03,483.87,Suspended,673
283,3153,43,Loan,2025-03-21,198.23,Active,230
284,29,86,Current,2014-09-06,139.56,Closed,4079
285,2143,35,Credit Card,2018-02-12,99.68,Active,2824
286,592,200,Current,2023-11-28,35.45,Closed,709
287,3646,192,Loan,2018-07-26,100.46,Suspended,2660
288,595,36,Credit Card,2023-10-13,181.99,Suspended,755
289,116,119,Credit Card,2023-11-17,340.96,Closed,720
290,3670,104,Current,2023-07-09,71.16,Active,851
291,1648,3,Credit Card,2019-03-29,95.08,Suspended,2414
292,1193,51,Current,2013-06-20,290.54,Closed,4522
293,2915,135,Savings,2021-01-26,61.06,Suspended,1745
294,2314,122,Current,2020-03-30,63.86,Suspended,2047
295,3788,156,Loan,2014-06-12,75.46,Suspended,4165
296,1792,75,Savings,2024-05-17,70.56,Closed,538
297,147,87,Loan,2020-02-01,240.42,Suspended,2105
298,2875,183,Credit Card,2017-10-27,216.48,Active,2932
299,3856,83,Savings,2015-10-02,12.72,Active,3688
300,2389,52,Loan,2023-07-18,57.78,Suspended,842
301,1557,153,Savings,2024-07-02,19.41,Suspended,492
302,1826,167,Savings,2013-02-24,74.48,Closed,4638
303,2372,72,Credit Card,2025-07-07,210.17,Closed,122
304,322,89,Savings,2023-08-30,24.56,Closed,799
305,2094,28,Loan,2017-06-18,103.48,Suspended,3063
306,3061,91,Savings,2023-12-03,77.06,Closed,704
307,2416,15,Loan,2021-07-15,85.08,Suspended,1575
308,188,65,Savings,2014-02-03,134.37,Closed,4294
309,1380,195,Savings,2017-01-19,286.21,Suspended,3213
310,3677,173,Loan,2023-02-02,154.27,Active,1008
311,3786,127,Savings,2019-07-19,122.93,Active,2302
312,489,171,Savings,2019-03-20,33.71,Active,2423
313,2134,141,Loan,2022-01-13,35.01,Closed,1393
314,2792,145,Current,2013-03-17,7.02,Active,4617
315,897,18,Loan,2017-03-22,53.12,Closed,3151
316,3008,110,Credit Card,2013-05-11,136.69,Closed,4562
317,554,45,Savings,2013-08-26,66.68,Active,4455
318,2624,118,Savings,2020-06-21,97.12,Closed,1964
319,308,134,Savings,2023-03-29,73.8,Active,953
320,2331,114,Credit Card,2023-02-28,6.64,Closed,982
321,1207,81,Savings,2017-05-20,2.21,Active,3092
322,611,123,Credit Card,2016-05-15,118.95,Closed,3462
323,1145,53,Credit Card,2020-03-02,20.01,Suspended,2075
324,676,196,Savings,2016-10-01,61.97,Closed,3323
325,2846,126,Loan,2020-03-30,25.75,Suspended,2047
326,3739,121,Loan,2021-01-01,256.51,Suspended,1770
327,2025,150,Credit Card,2019-02-13,112.96,Closed,2458
328,1228,119,Current,2013-02-14,30.76,Suspended,4648
329,1538,167,Credit Card,2012-08-31,72.55,Suspended,4815
330,3403,2,Loan,2021-09-24,66.74,Active,1504
331,1723,16,Loan,2013-02-22,92.6,Active,4640
332,411,64,Current,2024-09-20,17.47,Closed,412
333,3153,17,Credit Card,2020-11-26,78.61,Closed,1806
334,266,84,Credit Card,2025-09-08,29.26,Suspended,59
335,3089,7,Credit Card,2021-06-30,73.48,Closed,1590
336,484,181,Current,2016-11-06,109.79,Suspended,3287
337,1983,119,Loan,2018-11-22,26.68,Active,2541
338,2480,196,Loan,2024-11-05,77.35,Closed,366
339,3937,101,Savings,2016-10-20,70.78,Suspended,3304
340,2227,68,Savings,2020-10-30,103.29,Active,1833
341,1604,197,Current,2023-07-30,51.94,Active,830
342,1876,164,Current,2019-07-29,88.88,Suspended,2292
343,622,51,Current,2017-07-11,47.17,Active,3040
344,2066,60,Current,2013-05-11,232.6,Suspended,4562
345,2065,70,Loan,2016-08-13,10.7,Suspended,3372
346,517,110,Loan,2025-09-13,53.5,Active,54
347,628,59,Loan,2021-07-10,109.93,Closed,1580
348,448,31,Loan,2023-09-10,207.71,Suspended,788
349,3774,194,Current,2023-11-18,56.16,Suspended,719
350,871,113,Current,2020-09-11,41.95,Closed,1882
351,1726,134,Current,2022-06-03,24.14,Active,1252
352,2931,67,Savings,2012-09-25,18.69,Suspended,4790
353,1080,64,Current,2025-05-16,123.85,Active,174
354,389,55,Credit Card,2019-03-06,226.69,Suspended,2437
355,1272,111,Loan,2014-07-06,140.85,Closed,4141
356,1418,144,Credit Card,2016-03-08,62.79,Closed,3530
357,1041,54,Loan,2024-03-10,84.1,Active,606
358,417,90,Savings,2024-03-13,109.68,Closed,603
359,3663,60,Current,2023-04-21,197.81,Suspended,930
360,3282,161,Credit Card,2013-09-12,78.69,Closed,4438
361,209,93,Credit Card,2020-12-25,25.44,Active,1777
362,2061,48,Credit Card,2023-01-03,90.59,Suspended,1038
363,3850,76,Credit Card,2024-10-11,24.59,Closed,391
364,176,76,Savings,2025-09-15,25.6,Suspended,52
365,3745,159,Savings,2024-10-17,177.82,Active,385
366,3350,77,Current,2022-07-04,67.07,Active,1221
367,1618,107,Savings,2016-06-26,243.19,Suspended,3420
368,3664,135,Credit Card,2025-03-23,46.51,Suspended,228
369,303,43,Credit Card,2024-10-22,58.14,Closed,380
370,3650,154,Current,2024-08-20,55.13,Closed,443
371,3680,172,Savings,2023-02-26,853.91,Closed,984
372,618,167,Current,2025-06-04,60.63,Closed,155
373,180,34,Credit Card,2020-03-26,114.11,Suspended,2051
374,3048,11,Credit Card,2023-12-07,51.25,Closed,700
375,527,91,Loan,2015-06-08,408.16,Closed,3804
376,1510,156,Loan,2018-05-07,34.69,Active,2740
377,1950,21,Credit Card,2012-05-19,136.53,Closed,4919
378,88,164,Current,2015-12-18,11.5,Active,3611
379,1066,85,Credit Card,2015-10-11,41.66,Closed,3679
380,1818,41,Savings,2021-01-09,267.3,Closed,1762
381,1674,86,Current,2022-09-16,105.14,Closed,1147
382,1933,70,Current,2016-09-29,116.27,Suspended,3325
383,2676,39,Loan,2012-06-25,52.87,Suspended,4882
384,2883,25,Current,2022-08-29,141.23,Closed,1165
385,1398,84,Loan,2021-12-12,242.35,Closed,1425
386,1133,83,Loan,2016-03-15,47.93,Closed,3523
387,7,66,Savings,2014-11-09,27.51,Suspended,4015
388,1772,22,Current,2024-05-12,810.14,Suspended,543
389,921,69,Credit Card,2025-02-13,9.62,Suspended,266
390,2907,84,Loan,2015-11-18,227.34,Suspended,3641
391,1055,167,Credit Card,2020-12-04,146.34,Closed,1798
392,3547,3,Savings,2017-01-03,27.44,Active,3229
393,341,135,Loan,2016-05-11,283.64,Active,3466
394,274,195,Loan,2018-05-21,269.19,Closed,2726
395,3201,75,Current,2020-12-13,63.98,Suspended,1789
396,981,12,Loan,2024-12-21,44.3,Active,320
397,1617,134,Loan,2015-12-07,251.74,Active,3622
398,2130,124,Current,2016-01-05,23.19,Closed,3593
399,1205,130,Credit Card,2014-12-28,264.36,Suspended,3966
400,605,194,Current,2024-12-21,23.05,Active,320
401,705,2,Credit Card,2019-07-12,123.31,Closed,2309
402,524,42,Credit Card,2022-11-21,230.34,Suspended,1081
403,1760,55,Credit Card,2022-06-24,41.3,Active,1231
404,854,135,Savings,2017-07-15,168.43,Active,3036
405,1868,101,Credit Card,2025-09-04,137.56,Active,63
406,1740,83,Credit Card,2018-06-15,190.31,Closed,2701
407,610,165,Loan,2015-02-27,413.84,Active,3905
408,1817,59,Current,2020-02-06,80.09,Suspended,2100
409,3494,129,Loan,2021-07-01,195.62,Active,1589
410,1679,145,Credit Card,2023-10-07,149.14,Active,761
411,3601,79,Loan,2014-11-19,226.04,Active,4005
412,3895,135,Loan,2013-01-03,83.52,Active,4690
413,3683,23,Savings,2024-04-02,34.71,Closed,583
414,2377,162,Savings,2017-02-18,85.76,Closed,3183
415,3438,96,Credit Card,2019-03-07,72.88,Suspended,2436
416,3922,103,Credit Card,2025-07-30,5.17,Active,99
417,1821,173,Credit Card,2022-10-12,90.68,Active,1121
418,752,155,Loan,2023-04-10,340.06,Closed,941
419,1772,139,Loan,2016-11-27,149.92,Closed,3266
420,1111,11,Savings,2023-08-31,193.43,Active,798
421,2468,23,Loan,2017-08-18,28.52,Active,3002
422,2975,44,Loan,2022-11-16,38.22,Active,1086
423,3666,5,Loan,2025-01-07,86.81,Suspended,303
424,1116,29,Credit Card,2020-04-10,60.99,Active,2036
425,2584,14,Loan,2023-10-31,518.96,Active,737
426,2212,134,Current,2014-05-23,76.84,Closed,4185
427,702,26,Savings,2018-07-20,224.62,Suspended,2666
428,715,110,Loan,2019-03-11,365.09,Active,2432
429,1440,95,Loan,2013-06-22,100.23,Suspended,4520
430,2,200,Credit Card,2025-04-03,20.1,Active,217
431,3163,170,Loan,2012-09-27,160.74,Active,4788
432,365,60,Savings,2018-05-11,150.81,Active,2736
433,1488,175,Credit Card,2021-11-12,228.16,Closed,1455
434,3423,171,Current,2025-10-25,31.97,Suspended,12
435,628,39,Credit Card,2015-05-24,30.2,Suspended,3819
436,2098,73,Savings,2025-03-29,52.86,Active,222
437,3454,50,Credit Card,2025-11-01,26.63,Closed,5
438,2149,169,Credit Card,2019-09-24,76.32,Active,2235
439,3339,1,Savings,2021-02-24,58.02,Active,1716
440,2492,36,Savings,2013-11-17,88.27,Closed,4372
441,2870,155,Credit Card,2023-09-13,119.16,Closed,785
442,627,55,Credit Card,2020-04-27,337.74,Closed,2019
443,3358,108,Savings,2025-08-21,407.93,Active,77
444,2884,112,Savings,2024-10-31,37.97,Closed,371
445,356,38,Savings,2014-03-01,43.54,Active,4268
446,21,16,Current,2016-11-07,439.98,Active,3286
447,3656,82,Savings,2019-11-06,74.67,Suspended,2192
448,723,169,Credit Card,2017-03-28,130.65,Active,3145
449,289,154,Current,2019-06-05,191.1,Suspended,2346
450,2291,48,Loan,2020-10-06,68.25,Suspended,1857
451,194,4,Savings,2024-05-20,43.22,Closed,535
452,2359,108,Savings,2020-03-22,33.92,Active,2055
453,968,158,Loan,2015-12-19,273.23,Active,3610
454,296,145,Loan,2020-11-15,118.57,Active,1817
455,906,63,Savings,2025-02-05,45.43,Closed,274
456,1094,36,Current,2025-07-17,230.08,Active,112
457,3333,110,Savings,2022-12-28,98.14,Suspended,1044
458,3766,148,Savings,2014-09-10,46.84,Closed,4075
459,2776,133,Savings,2019-06-22,176.23,Active,2329
460,3459,55,Current,2016-01-20,95.73,Suspended,3578
461,660,161,Savings,2015-01-22,34.69,Active,3941
462,2656,195,Credit Card,2021-10-21,60.57,Suspended,1477
463,542,159,Credit Card,2016-01-27,661.57,Suspended,3571
464,3246,143,Credit Card,2012-10-28,25.17,Active,4757
465,3784,171,Credit Card,2016-10-03,56.88,Suspended,3321
466,1961,162,Savings,2017-03-02,36.22,Active,3171
467,1406,109,Current,2014-04-01,84.36,Closed,4237
468,111,159,Credit Card,2023-04-30,138.65,Suspended,921
469,1728,66,Savings,2014-08-19,42.46,Closed,4097
470,1218,149,Loan,2013-05-24,105.01,Active,4549
471,2023,124,Loan,2023-08-17,1668.21,Active,812
472,3994,86,Savings,2023-01-27,636.79,Closed,1014
473,1735,64,Current,2021-11-28,13.0,Suspended,1439
474,3725,86,Savings,2013-06-03,456.31,Closed,4539
475,3472,47,Loan,2013-04-05,44.98,Closed,4598
476,2287,104,Current,2014-08-23,30.08,Active,4093
477,3537,65,Savings,2020-01-25,171.62,Closed,2112
478,2122,55,Loan,2012-03-05,247.35,Active,4994
479,3733,19,Current,2016-10-25,118.15,Active,3299
480,2864,191,Credit Card,2019-09-27,26.15,Active,2232
481,1225,136,Loan,2023-06-18,409.6,Active,872
482,439,44,Savings,2022-02-12,277.72,Active,1363
