loan_id,customer_id,loan_type,loan_amount,issue_date,loan_status,is_fraud
38,4025,Home,487054.84,2023-09-26,Default,0
39,4015,Personal,841182.68,2019-01-03,Active,0
40,4004,Home,640059.32,2014-03-03,Closed,0
41,4026,Vehicle,513112.01,2017-02-11,Closed,0
42,4015,Gold,338401.42,2013-09-17,Default,1
43,4026,Home,341280.52,2020-05-14,Closed,0
44,4029,Business,164742.42,2022-07-28,Closed,0
45,4032,Gold,659032.57,2015-10-14,Active,0
46,4017,Education,215884.48,2020-06-13,Closed,0
47,4024,Home,375631.66,2024-09-06,Active,0
48,4005,Personal,218794.74,2020-07-13,Active,0
49,4021,Vehicle,590522.65,2013-02-17,Active,0
50,4002,Home,730029.72,2015-02-07,Default,0
51,4001,Personal,289420.85,2022-06-14,Default,0
52,4007,Personal,602884.31,2020-12-10,Default,0
53,4039,Business,261831.56,2015-01-11,Closed,0
54,4025,Education,615685.25,2014-02-22,Closed,0
55,4013,Personal,200846.22,2020-04-01,Default,0
56,4030,Personal,1133637.31,2015-07-26,Active,0
57,4025,Home,214670.95,2017-12-24,Default,0
58,4023,Business,54908.39,2022-06-26,Closed,0
59,4013,Home,595326.13,2025-09-14,Active,0
60,4022,Home,6861.31,2013-11-14,Default,0
61,4034,Education,329502.67,2021-04-15,Closed,0
62,4035,Gold,886680.86,2025-01-10,Default,0
63,4024,Home,728506.64,2015-06-28,Default,0
64,4014,Home,387081.88,2014-01-24,Active,0
65,4040,Personal,311996.85,2022-10-08,Closed,1
66,4025,Vehicle,498787.0,2018-10-24,Closed,0
67,4024,Vehicle,468850.6,2024-11-04,Active,1
68,4016,Business,345655.17,2016-01-15,Active,0
69,4003,Business,258085.01,2023-10-10,Closed,0
70,4003,Personal,186611.94,2016-10-08,Default,0
71,4017,Personal,334743.07,2021-06-09,Default,0
72,4026,Personal,499288.37,2023-03-03,Closed,0
73,4020,Education,247318.17,2013-08-08,Default,0
74,4011,Business,418663.89,2024-11-30,Active,0
75,4031,Education,691671.38,2022-02-27,Default,0
76,4034,Business,461792.15,2018-11-19,Closed,0
77,4007,Home,432057.22,2020-10-25,Active,0
78,4030,Vehicle,148020.48,2019-03-17,Default,0
79,4007,Personal,852273.92,2016-06-21,Closed,0
80,4018,Home,246578.15,2018-06-12,Closed,0
81,4028,Business,657883.6,2018-09-14,Closed,0
82,4007,Business,385852.64,2018-06-26,Closed,0
83,4001,Personal,426897.13,2020-06-01,Active,0
84,4039,Home,1033316.14,2024-04-28,Closed,0
85,4006,Education,438271.09,2018-11-30,Closed,0
86,4005,Gold,276277.82,2023-06-10,Closed,0
87,4019,Gold,35166.91,2016-08-13,Active,0
88,4030,Vehicle,698184.11,2016-03-28,Closed,0
89,4008,Home,576795.25,2024-09-14,Active,0
90,4005,Business,422866.46,2013-10-01,Default,0
91,4015,Gold,294290.27,2013-04-25,Active,0
92,4027,Business,102041.6,2024-02-24,Closed,0
93,4034,Home,747760.71,2019-04-14,Closed,0
94,4010,Education,566544.98,2025-08-18,Default,0
95,4008,Business,495012.55,2021-07-11,Default,0
96,4006,Vehicle,1121429.9,2017-11-27,Active,0
97,4016,Personal,464074.1,2016-04-10,Default,0
98,4009,Education,548226.53,2014-06-09,Active,0
99,4036,Business,191436.65,2018-06-16,Closed,0
100,4016,Vehicle,145458.61,2019-02-28,Default,0
101,4016,Personal,792265.18,2014-07-15,Default,0
102,4007,Education,357733.6,2013-01-13,Active,0
103,4039,Gold,19320.8,2013-06-25,Active,0
104,4040,Gold,555278.08,2013-07-21,Active,0
105,2281,Personal,365644.13,2016-05-01,Closed,0
106,4023,Education,761548.53,2025-08-24,Default,0
107,4025,Gold,167432.03,2018-10-09,Default,0
108,4006,Business,239633.94,2016-09-24,Default,0
109,4014,Home,225796.37,2019-02-23,Closed,0
110,4022,Home,600970.07,2013-09-19,Active,0
111,4015,Education,369725.9,2022-11-06,Active,1
112,4025,Home,332664.29,2013-10-03,Active,0
113,4011,Education,745354.37,2017-11-23,Default,0
114,4013,Vehicle,283686.05,2014-06-17,Closed,0
115,4010,Gold,81136.48,2024-09-05,Active,0
116,4014,Personal,291221.91,2019-11-17,Closed,1
117,4040,Gold,95894.28,2014-05-09,Active,1
118,4031,Home,823023.57,2016-10-25,Closed,0
119,4020,Home,745072.25,2015-12-01,Active,0
120,4022,Business,1246467.7,2016-06-09,Active,0
121,4021,Gold,428278.83,2013-04-21,Closed,0
122,4022,Education,200814.79,2013-01-21,Active,0
123,4032,Personal,433921.67,2014-12-20,Default,0
124,4033,Business,540088.33,2017-08-12,Closed,0
125,4035,Personal,222694.96,2025-06-23,Default,0
126,4020,Home,13813.39,2020-09-26,Default,0
127,4009,Vehicle,77774.67,2020-03-08,Closed,0
128,4017,Personal,388571.83,2016-10-27,Default,0
129,4031,Business,730601.64,2015-09-04,Closed,0
130,4010,Business,9146.22,2022-04-01,Closed,0
131,4008,Vehicle,119547.29,2020-07-30,Default,0
132,4016,Personal,555958.42,2018-07-22,Default,0
133,4031,Home,371046.72,2024-09-26,Active,0
134,4028,Personal,337419.72,2015-07-17,Default,0
135,4029,Personal,293546.58,2024-05-05,Closed,0
136,4023,Personal,260081.05,2022-01-15,Active,0
137,4031,Education,191002.2,2014-01-24,Closed,0
138,4032,Vehicle,278840.21,2019-01-31,Active,0
139,4030,Personal,341832.1,2015-04-27,Default,0
140,4015,Business,280023.64,2019-01-15,Active,0
141,4033,Business,68470.54,2015-08-24,Active,0
142,4014,Personal,571471.94,2016-12-18,Active,0
143,4001,Business,859451.32,2024-03-25,Closed,0
144,4012,Personal,254091.02,2025-07-28,Active,0
145,4013,Business,88084.88,2021-05-25,Default,0
146,4010,Personal,611846.89,2019-01-18,Closed,1
147,4037,Home,117038.6,2022-08-21,Closed,0
148,4029,Vehicle,938097.6,2017-08-22,Default,0
149,4033,Business,814581.21,2022-08-21,Closed,0
150,4001,Education,711716.19,2016-11-11,Closed,0
151,4029,Gold,520100.2,2019-10-17,Closed,0
152,4025,Education,708724.24,2020-06-03,Closed,0
153,4015,Vehicle,275266.7,2020-05-26,Default,0
154,4024,Home,82355.35,2017-04-30,Closed,0
155,4026,Home,88675.8,2016-03-13,Active,0
156,4023,Gold,437153.1,2013-06-30,Active,1
157,4007,Vehicle,360952.02,2025-10-20,Active,0
158,4038,Business,408138.13,2018-04-06,Active,0
159,4008,Vehicle,218631.62,2013-05-22,Default,0
160,4026,Vehicle,744059.71,2014-10-14,Closed,0
161,4034,Personal,140513.18,2021-05-07,Closed,1
162,4019,Business,158207.92,2020-04-13,Default,0
163,4026,Personal,92002.13,2020-10-14,Default,0
164,4010,Vehicle,552014.77,2021-11-10,Active,0
165,4038,Vehicle,746664.25,2015-04-09,Default,0
166,4023,Business,261211.66,2018-11-20,Default,0
167,4013,Gold,372699.0,2016-10-30,Closed,0
168,4008,Education,110629.75,2013-03-16,Active,0
169,4040,Vehicle,903505.6,2016-08-25,Closed,0
170,4029,Business,766502.72,2020-04-15,Active,0
171,4022,Personal,449257.14,2013-04-21,Closed,0
172,4018,Education,370247.7,2016-12-22,Default,0
173,4030,Home,328062.41,2023-02-02,Default,0
174,4001,Personal,201519.75,2020-01-26,Closed,0
175,4007,Personal,481220.55,2018-04-07,Closed,0
176,4010,Home,384959.2,2024-12-10,Active,0
177,4035,Business,526196.11,2019-09-29,Closed,0
178,4035,Gold,219103.82,2024-05-20,Active,0
179,4040,Home,496682.88,2013-07-21,Default,0
180,4034,Gold,368199.92,2016-10-17,Closed,0
181,4012,Education,371719.24,2022-08-24,Closed,0
182,4013,Home,533609.68,2017-05-21,Closed,0
183,4030,Business,655344.48,2020-08-09,Closed,0
184,4004,Personal,142840.27,2022-03-09,Default,0
185,4038,Gold,369230.02,2013-09-30,Default,0
186,4014,Gold,394922.93,2017-09-15,Default,0
187,4034,Home,273004.48,2024-11-12,Closed,0
188,4039,Personal,408518.19,2015-01-29,Active,0
189,4002,Vehicle,104705.66,2023-03-06,Active,0
190,4037,Vehicle,301821.82,2021-09-01,Default,0
191,4013,Gold,166976.48,2017-10-02,Default,0
192,4035,Home,133260.37,2013-09-05,Closed,0
193,4038,Gold,172425.34,2022-01-03,Active,0
194,4027,Education,285487.07,2020-02-12,Active,0
195,4034,Education,111097.98,2019-04-13,Closed,0
196,4031,Education,552602.78,2017-03-26,Closed,0
197,4029,Home,398978.07,2014-05-10,Default,0
198,4032,Vehicle,171999.71,2025-05-26,Active,0
199,4027,Education,432726.72,2015-03-31,Closed,0
200,4035,Business,262659.89,2014-03-01,Closed,0
201,4008,Home,320641.43,2021-03-11,Default,1
202,4033,Education,257532.38,2015-12-15,Default,0
203,4038,Personal,294622.08,2021-09-28,Closed,0
204,4032,Vehicle,795551.35,2016-03-14,Closed,1
205,4029,Home,82757.72,2021-07-12,Default,0
206,4002,Education,60032.86,2019-02-02,Active,0
207,4002,Vehicle,562650.67,2013-04-10,Closed,0
208,4014,Education,503448.79,2013-09-09,Default,0
209,4039,Personal,225874.94,2023-07-08,Closed,0
210,4027,Gold,529643.9,2016-10-06,Default,0
211,4039,Education,160681.74,2017-12-19,Active,1
212,4001,Vehicle,142542.15,2014-09-09,Default,0
213,4014,Education,56566.66,2021-10-22,Closed,0
214,4025,Business,167596.17,2021-06-19,Default,1
215,4006,Business,386843.52,2018-01-04,Closed,0
216,4034,Gold,218749.98,2017-10-30,Active,0
217,4018,Business,903715.8,2024-12-18,Active,0
218,4023,Vehicle,111145.66,2013-05-25,Default,0
219,4038,Business,477675.05,2013-04-02,Active,0
220,4024,Home,367926.14,2021-09-03,Closed,0
221,4027,Home,276917.61,2014-08-14,Default,0
222,4020,Home,874339.51,2014-05-04,Default,1
223,4013,Home,162495.49,2025-08-31,Closed,1
224,4004,Personal,206513.49,2021-12-02,Closed,0
225,4015,Education,438509.98,2018-09-15,Default,0
226,4038,Personal,596677.51,2016-01-28,Default,0
227,4011,Personal,816628.83,2025-01-10,Default,0
228,4023,Education,287358.64,2022-05-24,Active,0
229,4014,Business,536705.01,2017-05-12,Active,0
230,4026,Personal,80904.56,2020-12-17,Closed,0
231,4004,Vehicle,303583.21,2025-01-14,Closed,0
232,4039,Education,85028.48,2023-12-31,Active,0
233,4003,Personal,571057.99,2013-03-25,Closed,0
234,4006,Vehicle,36593.24,2015-12-02,Active,0
235,4021,Vehicle,464080.18,2019-07-11,Closed,0
236,4002,Vehicle,415605.38,2021-02-22,Closed,0
237,4004,Education,38369.51,2025-01-11,Closed,0
238,4036,Vehicle,689965.44,2020-08-17,Active,0
239,4011,Gold,15150.72,2014-10-09,Closed,0
240,4024,Personal,452700.4,2017-12-27,Default,0
241,4016,Home,444625.73,2014-07-07,Active,0
242,4002,Personal,507599.41,2020-11-17,Default,0
243,4037,Home,387257.64,2019-02-17,Default,0
244,4024,Vehicle,312181.83,2015-09-15,Closed,0
245,4023,Education,485916.9,2013-05-26,Default,0
246,4013,Business,545716.48,2018-05-16,Default,0
247,4016,Home,565243.28,2023-07-06,Default,0
248,4016,Gold,584307.57,2019-06-18,Closed,0
249,4007,Vehicle,204125.27,2018-11-22,Closed,0
250,4018,Business,644635.75,2019-10-03,Closed,0
251,4005,Personal,51881.97,2020-07-11,Default,0
252,4037,Education,479433.26,2013-10-23,Default,0
253,4004,Personal,334913.33,2022-04-16,Active,0
254,4034,Vehicle,531004.79,2025-03-02,Closed,0
255,4034,Business,105848.26,2016-08-04,Closed,0
256,4022,Vehicle,711926.93,2015-08-13,Closed,0
257,4001,Business,501614.17,2013-08-26,Active,0
258,4029,Personal,304072.27,2017-03-04,Active,0
259,4021,Personal,529885.03,2022-12-10,Default,0
260,4015,Education,638528.66,2025-08-12,Default,0
261,4010,Home,627408.61,2020-07-18,Closed,0
262,4006,Personal,813631.88,2015-02-19,Active,0
263,4008,Personal,348620.86,2013-12-06,Closed,0
264,4015,Education,373597.72,2022-10-31,Default,0
265,4002,Vehicle,118560.4,2015-11-14,Closed,0
266,4014,Business,374601.87,2023-11-24,Default,0
267,4008,Home,524554.5,2024-04-07,Default,0
268,4008,Gold,424529.06,2018-02-01,Default,0
269,4038,Education,665446.5,2015-09-02,Active,0
270,4001,Personal,839447.12,2018-05-20,Default,0
271,4021,Personal,552648.64,2020-11-04,Default,0
272,4029,Personal,349181.61,2022-11-23,Default,0
273,4004,Home,76498.08,2020-12-05,Default,0
274,4011,Gold,597379.71,2017-06-03,Default,1
275,4011,Business,582887.11,2018-08-15,Default,0
276,4026,Gold,697734.7,2016-02-23,Closed,0
277,4009,Home,776098.77,2020-04-07,Active,0
278,4010,Business,659918.06,2019-08-09,Active,0
279,4028,Education,426452.66,2025-09-19,Active,0
280,4026,Education,766002.14,2014-12-03,Closed,1
281,4001,Home,524761.77,2014-09-22,Default,0
282,4030,Gold,891326.56,2014-01-29,Default,0
283,4026,Gold,683937.05,2019-01-30,Active,0
284,4005,Education,630788.92,2024-12-06,Active,0
285,4005,Personal,482450.89,2013-04-20,Active,0
286,4009,Education,611284.99,2024-12-01,Closed,0
287,4021,Vehicle,130463.02,2019-06-03,Active,0
288,4007,Home,27003.83,2024-07-18,Default,0
289,4003,Education,250714.55,2020-07-16,Default,0
290,4007,Education,124953.18,2021-05-21,Closed,0
291,4027,Education,399579.09,2020-10-21,Default,0
292,4012,Home,188515.75,2019-08-28,Default,0
293,4025,Vehicle,673422.97,2023-04-13,Default,0
294,4033,Gold,41609.49,2021-09-26,Closed,0
295,4014,Vehicle,310197.53,2022-04-04,Default,0
296,4007,Home,490945.32,2013-12-14,Default,0
297,4033,Home,410652.53,2021-02-18,Closed,1
298,4004,Business,705547.43,2015-03-13,Closed,0
299,4027,Education,811702.14,2025-09-02,Default,0
300,4018,Vehicle,169550.43,2015-07-25,Default,0
301,4011,Gold,706132.82,2018-11-21,Default,0
302,4034,Education,432636.97,2020-09-04,Closed,0
303,4026,Personal,380582.33,2013-03-03,Active,0
304,4010,Personal,468401.43,2019-07-23,Active,0
305,4019,Education,269901.79,2015-09-09,Active,0
306,4011,Education,967476.42,2013-02-11,Default,0
307,4029,Gold,758807.52,2024-11-27,Default,0
308,4017,Vehicle,20622.64,2024-11-07,Active,0
309,4035,Business,57205.97,2025-08-04,Closed,0
310,4023,Education,321842.72,2023-09-20,Closed,0
311,4015,Personal,460117.42,2018-08-10,Closed,0
312,4010,Home,507502.57,2014-07-30,Default,0
313,4009,Home,1053445.84,2013-01-20,Default,0
314,4018,Gold,414434.28,2024-05-02,Closed,0
315,4003,Education,361794.04,2013-11-21,Active,0
316,4017,Gold,314164.86,2021-08-09,Default,0
317,4028,Business,345913.67,2025-08-14,Default,0
318,4017,Vehicle,431022.03,2022-10-25,Default,0
319,4020,Home,845405.73,2018-08-23,Closed,0
320,4034,Vehicle,730470.14,2018-09-06,Closed,0
321,4027,Business,396334.84,2022-05-12,Default,0
322,4015,Gold,335541.14,2022-12-10,Closed,0
323,4039,Business,627993.28,2018-11-11,Closed,0
324,4032,Personal,414467.28,2020-09-16,Default,0
325,4023,Education,275092.92,2025-06-08,Active,0
326,4023,Home,990446.39,2022-09-10,Active,0
327,4013,Education,454211.37,2014-05-07,Active,0
328,4036,Personal,108595.55,2022-09-09,Default,0
329,4032,Vehicle,861098.21,2023-10-31,Active,0
330,4008,Vehicle,642976.29,2018-12-21,Active,0
331,4010,Business,292427.79,2021-01-25,Active,0
332,4015,Home,245423.34,2021-07-06,Default,0
333,4012,Home,692658.08,2016-05-26,Active,0
334,4026,Gold,108688.3,2013-09-08,Default,0
335,4002,Education,607290.99,2019-02-09,Active,0
336,4014,Gold,634116.44,2014-05-09,Closed,0
337,4035,Personal,504481.28,2016-07-23,Active,0
338,4004,Vehicle,512833.78,2017-11-29,Active,0
339,4022,Vehicle,27166.01,2019-01-04,Default,0
340,4013,Vehicle,678680.75,2016-09-18,Active,0
341,4012,Business,193703.67,2024-09-05,Default,0
342,4001,Education,103046.74,2019-10-27,Active,0
343,4007,Personal,589456.76,2013-08-03,Default,0
344,4033,Education,400191.44,2022-12-29,Active,0
345,4013,Home,248768.08,2015-11-28,Default,0
346,4034,Home,357383.5,2016-09-14,Default,0
347,4020,Vehicle,330816.74,2019-12-05,Default,0
348,4017,Education,157608.04,2013-02-22,Closed,0
349,4026,Gold,313087.2,2020-11-03,Closed,0
350,4020,Education,448632.2,2018-02-28,Active,0
351,4010,Business,548417.08,2023-07-01,Active,0
352,4020,Personal,227082.63,2017-01-21,Default,0
353,4030,Vehicle,311995.36,2025-02-19,Active,0
354,4031,Business,726378.1,2015-06-02,Default,0
355,4031,Vehicle,227583.01,2018-07-15,Closed,0
356,4007,Personal,672421.93,2021-01-19,Default,0
357,4007,Vehicle,204255.65,2017-09-02,Active,0
358,4013,Personal,638261.71,2021-09-25,Active,0
359,4003,Home,720330.4,2023-06-23,Default,0
360,4025,Gold,790013.12,2020-09-07,Closed,0
361,4012,Vehicle,613742.52,2014-04-04,Closed,0
362,4032,Business,214487.15,2020-04-29,Active,0
363,4032,Education,294671.83,2025-08-23,Active,0
364,4030,Vehicle,371798.15,2023-11-26,Closed,0
365,4018,Gold,310140.56,2014-09-02,Closed,0
366,4021,Gold,219268.27,2022-01-29,Default,0
367,4040,Vehicle,449466.13,2019-02-08,Closed,0
368,4001,Vehicle,363151.76,2021-03-29,Active,0
369,4040,Education,178550.38,2015-05-31,Active,0
370,4028,Personal,648216.39,2023-10-08,Default,0
371,4036,Vehicle,84719.13,2014-06-25,Active,0
372,4002,Personal,425344.53,2023-03-24,Default,0
373,4009,Business,531671.3,2014-06-04,Default,0
374,4015,Gold,1110579.51,2016-09-20,Active,0
375,4021,Education,124712.53,2013-09-10,Default,0
376,4017,Home,512493.19,2019-10-22,Active,0
377,4026,Business,329484.44,2015-02-22,Active,0
378,4001,Vehicle,285769.85,2015-03-16,Default,0
379,4016,Home,953253.44,2021-01-25,Default,0
380,4040,Personal,621267.4,2018-01-08,Default,0
381,4032,Home,521335.59,2018-03-06,Active,0
382,4015,Business,94953.65,2018-03-20,Default,0
383,4003,Personal,795091.88,2016-04-10,Default,0
384,4028,Education,537576.54,2018-03-31,Active,0
385,4028,Education,579474.08,2021-07-01,Default,0
386,4010,Gold,657720.84,2022-11-16,Default,0
387,4006,Gold,630526.62,2020-03-26,Closed,0
388,4033,Home,735896.79,2021-06-05,Active,0
389,4010,Personal,328357.94,2020-06-13,Default,0
390,4039,Vehicle,527954.28,2020-05-29,Closed,0
391,4031,Personal,830512.01,2017-06-12,Default,0
392,4021,Home,123776.85,2021-02-10,Default,0
393,4034,Business,530249.96,2021-07-02,Active,0
394,4038,Gold,165622.9,2021-01-26,Active,0
395,4021,Vehicle,324430.11,2016-12-18,Default,0
396,4022,Vehicle,230934.56,2020-01-10,Active,0
397,4014,Personal,341447.78,2020-06-24,Default,0
398,4006,Gold,132588.45,2014-06-21,Active,1
399,4011,Gold,526513.21,2025-07-09,Active,0
400,4005,Gold,406641.94,2022-04-13,Active,0
401,4034,Personal,9928.58,2014-10-29,Default,0
402,4026,Business,74646.74,2016-07-25,Active,0
403,4012,Education,272399.62,2016-12-04,Active,0
404,4013,Home,511565.1,2017-05-01,Default,0
405,4022,Education,416183.81,2017-01-05,Default,0
406,4009,Education,428908.36,2024-09-14,Active,0
407,4001,Gold,462293.74,2017-06-25,Default,0
408,4027,Gold,199839.52,2023-03-13,Closed,1
409,4003,Education,58889.83,2015-09-30,Default,0
410,4012,Personal,638589.22,2013-04-25,Active,0
411,4023,Gold,774844.24,2023-08-08,Closed,0
412,4001,Home,290682.14,2015-05-06,Closed,0
413,4033,Home,100533.73,2017-09-13,Closed,0
414,4039,Gold,209874.36,2017-08-30,Default,0
415,4013,Education,446337.04,2025-08-23,Closed,0
416,4040,Business,545157.06,2017-05-31,Closed,0
417,4020,Education,314556.28,2023-10-11,Closed,0
418,4039,Personal,48391.08,2021-06-05,Active,0
419,4040,Personal,183876.76,2020-04-22,Default,0
420,4009,Home,312556.56,2023-09-23,Default,0
421,4025,Home,655306.9,2020-06-04,Active,0
422,4007,Gold,227163.39,2020-02-01,Active,0
423,4022,Education,218979.34,2013-07-02,Active,0
424,4013,Business,717150.06,2019-04-19,Closed,0
425,4030,Education,555556.03,2015-05-17,Closed,0
426,4021,Vehicle,577340.65,2023-03-04,Active,0
427,4007,Education,426502.6,2019-04-07,Closed,0
428,4038,Business,344080.17,2023-07-06,Closed,0
429,4039,Education,205838.76,2015-03-24,Closed,0
430,4010,Education,349778.11,2020-03-31,Active,0
431,4006,Education,255348.56,2018-01-30,Default,0
432,4027,Home,337028.1,2022-06-26,Default,0
433,4011,Personal,517365.7,2022-11-07,Closed,0
434,4013,Home,344967.86,2022-06-24,Active,0
435,4016,Home,539052.38,2018-04-28,Closed,0
436,4021,Gold,363006.84,2021-12-21,Closed,0
437,4007,Personal,95038.36,2016-09-14,Active,1
438,4002,Personal,134728.9,2021-06-26,Default,0
439,4003,Business,650146.53,2025-09-16,Closed,0
440,4028,Home,474549.18,2016-04-01,Default,0
441,4029,Personal,553888.06,2018-07-07,Closed,0
442,4018,Business,3100.61,2023-05-10,Default,0
443,4022,Personal,792701.26,2018-01-29,Default,0
444,4001,Personal,366601.68,2015-02-23,Active,0
445,4006,Gold,874606.34,2021-01-13,Active,0
446,4030,Business,479637.16,2018-09-26,Active,0
447,4019,Business,310517.5,2023-12-04,Active,0
448,4007,Vehicle,409004.6,2022-11-16,Active,0
449,4034,Business,676692.74,2024-06-06,Closed,0
450,4009,Education,497048.02,2023-08-02,Active,0
451,4039,Business,393878.81,2017-08-21,Default,0
452,4026,Home,149017.02,2023-03-22,Default,0
453,4027,Education,545113.53,2014-12-06,Default,0
454,4032,Education,928104.59,2018-09-13,Closed,0
455,4009,Gold,596263.88,2015-08-05,Default,0
456,4007,Home,845330.77,2021-03-25,Default,0
457,4013,Personal,341074.57,2021-05-22,Closed,0
458,4015,Business,578052.1,2016-09-19,Active,1
459,4008,Personal,654693.07,2024-02-04,Default,0
460,4033,Business,515417.88,2013-08-28,Closed,0
461,4025,Gold,424779.6,2016-03-02,Closed,0
462,4021,Home,529060.62,2021-01-11,Active,0
463,4026,Home,715831.32,2016-07-26,Default,0
464,4035,Business,440339.96,2018-05-24,Active,0
465,4030,Gold,277765.58,2017-04-02,Closed,0
466,4012,Business,373353.05,2013-05-18,Active,0
467,4010,Gold,66327.31,2021-04-29,Default,0
468,4021,Home,50088.37,2014-06-28,Active,0
469,4033,Business,385604.13,2025-05-01,Default,0
470,4014,Personal,167389.85,2019-07-04,Closed,0
471,4029,Education,440120.2,2017-07-30,Default,0
472,4010,Education,65457.2,2020-03-04,Default,0
473,4019,Gold,235686.71,2025-07-11,Closed,0
474,4033,Business,530968.02,2015-06-24,Active,0
475,4009,Business,628425.93,2016-11-02,Default,0
476,4006,Gold,244400.5,2019-04-21,Active,0
477,4037,Vehicle,520122.57,2025-06-17,Default,0
478,4038,Personal,764870.32,2022-06-22,Closed,0
479,4036,Personal,457126.89,2015-12-23,Closed,0
480,4039,Vehicle,275826.56,2014-07-08,Closed,0
481,4002,Personal,876355.84,2015-10-02,Active,0
482,4026,Education,167665.3,2015-01-15,Active,0
483,4029,Education,589376.82,2023-02-19,Active,0
484,4004,Business,601229.6,2016-11-03,Active,0
485,4035,Business,174889.89,2023-10-11,Closed,0
486,4038,Home,207125.66,2018-12-27,Default,0
487,4012,Vehicle,816041.93,2025-04-10,Active,0
488,4030,Personal,65558.1,2019-04-28,Default,0
489,4038,Home,739322.74,2018-04-21,Active,0
490,4006,Home,617275.06,2016-03-29,Closed,1
491,4024,Business,715386.03,2021-02-20,Active,0
492,4012,Personal,132611.48,2025-07-17,Active,0
493,4039,Education,531222.13,2014-10-22,Default,0
494,4031,Business,420318.01,2022-11-19,Closed,0
495,4025,Vehicle,495342.97,2016-02-17,Default,0
496,4010,Personal,13704.88,2013-12-08,Closed,0
497,4012,Home,283877.86,2025-09-17,Default,0
498,4035,Gold,642910.62,2019-03-27,Closed,0
499,4014,Gold,502899.67,2023-04-04,Active,0
500,4010,Home,365955.33,2023-12-16,Active,0
501,4036,Gold,739003.2,2017-04-24,Closed,0
502,4015,Gold,634195.32,2013-04-02,Active,0
503,4011,Vehicle,910819.59,2013-07-28,Closed,0
504,4003,Business,395289.4,2025-04-27,Active,0
505,4012,Business,317524.53,2022-06-02,Closed,0
506,4039,Education,116732.34,2025-03-31,Default,0
507,4024,Business,254248.14,2015-04-28,Active,0
508,4005,Vehicle,598997.45,2020-02-08,Default,0
509,4013,Home,793992.12,2018-02-24,Default,0
510,4023,Gold,516501.48,2020-10-30,Active,0
511,4032,Education,111038.17,2014-04-26,Closed,0
512,4002,Vehicle,75490.29,2013-08-19,Active,0
513,4031,Business,662008.96,2015-11-17,Closed,0
514,4026,Gold,418332.61,2023-09-02,Closed,0
515,4005,Gold,435213.49,2025-02-09,Closed,0
516,4030,Business,283867.9,2016-08-27,Active,0
517,4033,Gold,220136.32,2023-01-14,Closed,0
518,4004,Business,234415.54,2024-03-10,Closed,0
519,4035,Gold,860100.62,2020-12-30,Closed,0
520,4017,Vehicle,420980.52,2025-01-02,Active,0
521,4029,Personal,127454.31,2013-10-06,Active,0
522,4032,Education,412130.43,2024-01-11,Active,0
523,4040,Business,126102.5,2014-09-30,Closed,0
524,4010,Education,506792.79,2018-07-16,Default,0
525,4017,Education,1636.84,2017-05-06,Closed,0
526,4023,Gold,15675.06,2018-02-15,Active,0
527,4021,Education,486643.46,2014-12-27,Active,0
528,4001,Vehicle,746826.17,2024-09-11,Closed,0
529,4007,Personal,430611.68,2015-03-14,Default,0
530,4027,Education,566640.51,2014-08-11,Default,0
531,4026,Education,416574.74,2020-03-07,Default,0
532,4020,Business,578626.26,2014-10-12,Active,0
533,4016,Home,307403.98,2015-12-02,Closed,0
