account_id,customer_id,branch_id,account_type,opening_date,balance,status
213,1498,128,Current,09-03-2015,51.64,Closed
214,3751,133,Savings,13-12-2023,111.72,Active
215,875,121,Loan,21-05-2021,69.97,Suspended
216,2368,70,Loan,18-03-2018,122.37,Closed
217,2246,99,Loan,"Jul 11, 2017",39.06,Suspended
218,1672,37,Loan,09-04-2025,160.44,Closed
219,3466,53,Loan,10-11-2024,163.27,Active
220,2742,67,Loan,"May 16, 2019",29.68,Closed
221,1512,99,Current,17-09-2024,178.06,Active
222,2607,61,Loan,13-03-2023,452.05,Suspended
223,2913,146,Savings,15-01-2020,66.43,Suspended
224,2656,120,Savinsg,25-07-2017,201.73,Active
225,4017,43,Current,"Oct 11, 2020",41.14,Closed
226,216,120,Savings,01-06-2023,11.06,Closed
227,243,172,Loan,04-04-2024,33.68,Active
228,1072,47,Svaings,08-10-2022,64.78,Closed
229,1206,175,Loan,17-12-2019,246.92,Suspended
230,407,19,Creidt Card,16-07-2020,568.07,Suspended
231,1251,40,Loan,27-06-2019,123.77,Closed
232,1124,32,Credit Card,12-11-2013,19.73,Active
233,5,121,Loan,28-07-2012,43.77,active
234,534,142,Savings,15-06-2022,41.43,Suspended
235,944,69,Savings,"Jul 21, 2016",51.89,Suspended
236,2371,47,Savings,28-09-2014,48.78,Suspended
237,3414,143,Savings,26-04-2015,162.26,Suspended
238,1327,191,Loan,13-07-2022,94.25,Closed
239,1556,74,Credit Card,03-03-2018,18.44,Suspended
240,1658,138,Credit Card,26-11-2021,149.35,Suspended
241,441,195,Current,"Jun 17, 2019",45.69,Closed
242,1208,92,Credit Card,27-11-2014,203.11,Suspended
243,3610,109,Current,15-10-2015,60.62,Suspended
244,2147,104,Current,07-04-2012,56.86,Suspended
245,2753,99,Loan,13-02-2014,53.58,Active
246,2949,129,Current,28-11-2014,44.91,Suspended
247,1948,27,Credit Card,15-11-2014,208.35,Active
248,3957,156,Current,29-12-2013,15.04,Active
249,2298,101,Loan,05-03-2014,59.32,Closed
250,2322,138,Savigns,23-09-2022,121.42,Active
251,3644,69,CreditC ard,01-07-2019,251.41,Suspended
252,2453,167,Loan,17-01-2015,177.48,Closed
253,1926,121,Current,27-10-2016,137.63,Suspended
254,2071,14,Loan,21-10-2018,96.27,Closed
255,189,190,Current,21-05-2025,145.05,Closed
256,1508,199,Savings,11-11-2020,74.53,Suspended
257,3988,195,Loan,07-03-2013,91.86,Suspended
258,3193,151,Loan,31-08-2016,88.54,Suspended
259,933,157,Current,24-05-2017,142.33,Active
260,3352,77,Current,22-10-2025,48.64,Suspended
261,3189,8,Savings,02-12-2017,108.63,Closed
262,133,120,Credit Card,29-01-2025,66.49,Active
263,2811,47,Savings,05-05-2012,36.33,Closed
264,1319,182,Creidt Card,11-04-2015,72.94,SUSPENDED
265,3312,137,Current,08-04-2014,51.27,Suspended
266,3383,131,Credit Card,01-06-2020,68.1,Closed
267,3775,78,Crurent,29-01-2015,23.56,Active
268,202,23,Savings,12-04-2021,625.77,Closed
269,3589,125,Loan,07-01-2025,30.59,Closed
270,919,184,Savings,02-05-2023,140.7,  Active  
271,3641,2,Current,"Jun 13, 2023",76.48,Suspended
272,2212,31,Savings,21-12-2020,427.47,Suspended
273,4051,148,Savings,28-11-2022,29.75,Closed
274,2432,26,Current,06-10-2016,25.35,Closed
275,2556,148,Savings,04-06-2021,71.06,Active
276,612,62,Current,01-12-2018,90.62,Suspended
277,1799,179,Credit Card,05-09-2020,282.61,Active
278,991,32,Savings,24-02-2025,76.87,Active
279,2010,17,Loan,25-08-2024,59.83,Closed
280,3868,43,Credit Card,25-02-2014,57.75,Active
281,77,77,Credit Card,13-06-2014,-49.47,Active
282,677,63,Loan,03-01-2024,483.87,Suspended
283,3153,43,Loan,21-03-2025,198.23,Active
284,29,86,Current,09-06-2014,139.56,Closed
285,2143,35,Credit Card,12-02-2018,99.68,Active
286,592,200,Current,28-11-2023,35.45,Closed
287,3646,192,Loan,26-07-2018,100.46,Suspended 
288,595,36,Credit Card,13-10-2023,181.99,Suspended
289,116,119,Credit Card,17-11-2023,340.96,Closed
290,3670,104,Current,09-07-2023,71.16,Active
291,1648,3,Credit Card,29-03-2019,95.08,Suspended
292,1193,51,Current,20-06-2013,290.54,Closed
293,2915,135,Savings,"Jan 26, 2021",61.06,Suspended
294,2314,122,Current,30-03-2020,63.86,Suspended
295,3788,156,Loan,12-06-2014,75.46,Suspended
296,1792,75,Savings,17-05-2024,70.56,Closed
297,147,87,Loan,01-02-2020,240.42,Suspended
298,2875,183,Credit Card,27-10-2017,216.48,Active
299,3856,83,Savings,02-10-2015,12.72,Active
300,2389,52,Loan,18-07-2023,57.78,Suspended
301,1557,153,Savings,02-07-2024,19.41,Suspended
302,1826,167,Savings,24-02-2013,74.48,Closed
303,2372,72,Credit Card,07-07-2025,210.17,CLOSED
304,322,89,Savings,30-08-2023,-24.56,closed
305,2094,28,Loan,18-06-2017,103.48,Suspended
306,3061,91,Savings,03-12-2023,77.06,Closed
307,2416,15,Lona,15-07-2021,85.08,Suspended
308,188,65,Savings,03-02-2014,134.37,Closed
309,1380,195,Savings,19-01-2017,286.21,Suspended
310,3677,173,Loan,02-02-2023,154.27, Active
311,3786,127,Savings,19-07-2019,122.93,Active
312,489,171,Savings,20-03-2019,33.71,Active
313,2134,141,Loan,13-01-2022,35.01,Closed
314,2792,145,Current,17-03-2013,7.02,Active
315,897,18,Loan,22-03-2017,53.12,closed
316,3008,110,Credit Card,11-05-2013,136.69,Closed
317,554,45,Savings,26-08-2013,66.68,Active
318,2624,118,Saivngs,21-06-2020,97.12,  Closed  
319,308,134,Savings,29-03-2023,73.8,Active
320,2331,114,Credit Card,28-02-2023,6.64,Closed
321,1207,81,Savings,20-05-2017,2.21,Active
322,611,123,Credit Card,15-05-2016,118.95,Closed
323,1145,53,Credit Card,02-03-2020,20.01,Suspended
324,676,196,Savings,01-10-2016,61.97,Closed
325,2846,126,Loan,"Mar 30, 2020",25.75,Suspended
326,3739,121,Loan,01-01-2021,256.51,Suspended
327,2025,150,Credit Card,13-02-2019,112.96,Closed
328,1228,119,Current,"Feb 14, 2013",30.76,Suspended
329,1538,167,Credit Card,"Aug 31, 2012",72.55,Suspended
330,3403,2,Loan,24-09-2021,66.74,Active
331,1723,16,oLan,22-02-2013,92.6,Active
332,411,64,Current,20-09-2024,17.47,Closed
333,3153,17,Credit Card,26-11-2020,78.61,Closed
334,266,84,Credit Card,08-09-2025,29.26,Suspended
335,3089,7,Credit Card,30-06-2021,73.48,Closed
336,484,181,Currnet,06-11-2016,109.79,Suspended
337,1983,119,Loan,22-11-2018,26.68,Active
338,2480,196,Loan,05-11-2024,77.35,Closed
339,3937,101,Savings,20-10-2016,70.78,Suspended
340,2227,68,Savings,30-10-2020,103.29,Active
341,1604,197,Current,"Jul 30, 2023",51.94,Active
342,1876,164,Current,29-07-2019,88.88,Suspended
343,622,51,Current,11-07-2017,47.17,Active
344,2066,60,Current,"May 11, 2013",232.6,Suspended
345,2065,70,Loan,13-08-2016,10.7,Suspended
346,517,110,Loan,13-09-2025,53.5,Active
347,628,59,oLan,10-07-2021,109.93,Closed
348,448,31,Loan,10-09-2023,207.71,Suspended
349,3774,194,Current,18-11-2023,56.16,suspended
350,871,113,Current,11-09-2020,41.95,Closed
351,1726,134,Current,03-06-2022,24.14,Active
352,2931,67,Savings,25-09-2012,18.69,Suspended
353,1080,64,Current,16-05-2025,123.85,Active 
354,389,55,Credit Card,06-03-2019,226.69,Suspended
355,1272,111,Loan,07-06-2014,140.85,Closed
356,1418,144,Credit Card,08-03-2016,62.79,Closed
357,1041,54,Lona,10-03-2024,84.1,Active
358,417,90,aSvings,13-03-2024,109.68,Closed
359,3663,60,Current,21-04-2023,197.81,Suspended
360,3282,161,Credit Card,12-09-2013,78.69,Closed
361,209,93,Credit Card,"Dec 25, 2020",25.44,Active
362,2061,48,Credit Card,03-01-2023,90.59,Suspended
363,3850,76,Credit Card,11-10-2024,24.59,Closed
364,176,76,Savings,15-09-2025,25.6,Suspended
365,3745,159,Svaings,17-10-2024,177.82,Active
366,3350,77,Current,07-04-2022,67.07,Active
367,1618,107,Savings,26-06-2016,243.19,Suspended
368,3664,135,Credit Card,23-03-2025,46.51,Suspended
369,303,43,Credit Card,22-10-2024,58.14,Closed
370,3650,154,Current,20-08-2024,55.13,Closed
371,3680,172,Savings,26-02-2023,853.91,Closed
372,618,167,Currnet,04-06-2025,60.63,Closed
373,180,34,Credit Card,26-03-2020,-114.11,Suspended
374,3048,11,Credit Card,12-07-2023,51.25,Closed
375,527,91,Loan,08-06-2015,408.16,Closed
376,1510,156,Loan,07-05-2018,34.69, Active
377,1950,21,Crdeit Card,19-05-2012,136.53,Closed
378,88,164,Current,18-12-2015,11.5,Active
379,1066,85,Crdeit Card,11-10-2015,41.66,CLOSED
380,1818,41,Savings,09-01-2021,267.3,Closed
381,1674,86,Current,16-09-2022,105.14,closed
382,1933,70,Current,29-09-2016,116.27,Suspended
383,2676,39,Loan,"Jun 25, 2012",52.87,Suspended
384,2883,25,Curernt,29-08-2022,141.23,Closed
385,1398,84,Loan,12-12-2021,242.35,Closed
386,1133,83,Loan,15-03-2016,47.93,Closed
387,7,66,Savings,09-11-2014,27.51,Suspended
388,1772,22,Current,12-05-2024,810.14,Suspended
389,921,69,Credi tCard,13-02-2025,9.62,Suspended
390,2907,84,Loan,18-11-2015,227.34,Suspended
391,1055,167,Credit Card,04-12-2020,146.34,Closed
392,3547,3,Savings,03-01-2017,27.44,Active
393,341,135,Loan,11-05-2016,283.64,Active
394,274,195,Loan,21-05-2018,269.19,Closed
395,3201,75,Current,13-12-2020,63.98,Suspended
396,981,12,Loan,21-12-2024,44.3,Active
397,1617,134,Loan,07-12-2015,251.74,Active
398,2130,124,Current,05-01-2016,23.19,Closed
399,1205,130,Credit Crad,28-12-2014,264.36,Suspended
400,605,194,Current,21-12-2024,23.05,Active
401,705,2,Credit Card,12-07-2019,123.31,Closed
402,524,42,Credi tCard,"Nov 21, 2022",230.34,Suspended
403,1760,55,Credit Card,24-06-2022,41.3,Active
404,854,135,Savings,15-07-2017,168.43,Active
405,1868,101,Credit Card,04-09-2025,137.56,Active
406,1740,83,Credit Card,15-06-2018,190.31,Closed
407,610,165,Laon,27-02-2015,413.84, Active
408,1817,59,Current,06-02-2020,80.09,Suspended
409,3494,129,Loan,01-07-2021,195.62,Active
410,1679,145,Credit Card,07-10-2023,149.14,Active
411,3601,79,Loan,19-11-2014,226.04,Active
412,3895,135,Loan,03-01-2013,83.52,Active
413,3683,23,Savings,02-04-2024,34.71,Closed
414,2377,162,Savings,18-02-2017,85.76,Closed
415,3438,96,Credit Card,"Mar 07, 2019",72.88,suspended
416,3922,103,Credit Card,30-07-2025,5.17,Active
417,1821,173,Credit Card,12-10-2022,90.68,Active
418,752,155,Loan,04-10-2023,340.06,Closed
419,1772,139,Loan,27-11-2016,149.92,Closed
420,1111,11,Savings,31-08-2023,193.43,Active
421,2468,23,Loan,18-08-2017,28.52,Active
422,2975,44,Loan,16-11-2022,38.22,Active
423,3666,5,Loan,07-01-2025,86.81,Suspended
424,1116,29,Credit Card,10-04-2020,60.99,Active
425,2584,14,Loan,31-10-2023,518.96,Active
426,2212,134,Current,23-05-2014,76.84,Closed
427,702,26,Savings,"Jul 20, 2018",224.62,Suspended
428,715,110,Loan,11-03-2019,365.09,Active
429,1440,95,Loan,22-06-2013,100.23,Suspended
430,2,200,Credit Card,03-04-2025,20.1,active
431,3163,170,oLan,27-09-2012,160.74,Active
432,365,60,Savigns,11-05-2018,150.81,Active
433,1488,175,Credit Card,12-11-2021,228.16,Closed
434,3423,171,Current,25-10-2025,31.97,Suspended
435,628,39,Credit Card,24-05-2015,30.2,Suspended
436,2098,73,Savings,29-03-2025,52.86,Active
437,3454,50,Credit Card,01-11-2025,26.63,Closed
438,2149,169,Credit Card,24-09-2019,76.32,Active
439,3339,1,Savings,24-02-2021,58.02,Active
440,2492,36,Savings,17-11-2013,88.27,Closed
441,2870,155,Credit Card,13-09-2023,119.16,CLOSED
442,627,55,Credit Card,27-04-2020,337.74,Closed
443,3358,108,Savings,21-08-2025,407.93,Active
444,2884,112,Savings,31-10-2024,37.97,Closed
445,356,38,Savings,01-03-2014,43.54,Active
446,21,16,Current,07-11-2016,439.98,Active
447,3656,82,Savings,06-11-2019,74.67,Suspended
448,723,169,Credit Card,28-03-2017,130.65,Active
449,289,154,Current,05-06-2019,191.1,Suspended
450,2291,48,Loan,06-10-2020,68.25, Suspended
451,194,4,Savings,20-05-2024,43.22,Closed
452,2359,108,Savings,22-03-2020,33.92,Active
453,968,158,Loan,19-12-2015,273.23,Active
454,296,145,Loan,15-11-2020,118.57,Active
455,906,63,aSvings,05-02-2025,45.43,Closed
456,1094,36,Current,17-07-2025,230.08,Active
457,3333,110,Savings,28-12-2022,98.14,Suspended
458,3766,148,Savings,10-09-2014,46.84,Closed
459,2776,133,Savings,22-06-2019,176.23,Active
460,3459,55,Curernt,20-01-2016,95.73,Suspended
461,660,161,Savings,22-01-2015,34.69,Active
462,2656,195,Credit Card,21-10-2021,60.57,Suspended
463,542,159,Credit Card,27-01-2016,661.57,Suspended
464,3246,143,Credit Card,28-10-2012,25.17,Active
465,3784,171,Credit Card,03-10-2016,56.88,Suspended
466,1961,162,Savings,02-03-2017,36.22,Active
467,1406,109,Current,01-04-2014,84.36,Closed
468,111,159,Credit Card,30-04-2023,138.65,  Suspended  
469,1728,66,Savings,19-08-2014,42.46,Closed
470,1218,149,Loan,24-05-2013,105.01,Active
471,2023,124,Loan,17-08-2023,1668.21,Active
472,3994,86,Savings,27-01-2023,636.79,Closed
473,1735,64,Crurent,28-11-2021,13,Suspended
474,3725,86,Savings,03-06-2013,456.31,Closed
475,3472,47,Loan,05-04-2013,44.98,Closed
476,2287,104,Current,23-08-2014,30.08,Active
477,3537,65,Savings,25-01-2020,171.62, Closed
478,2122,55,Loan,05-03-2012,247.35,Active
479,3733,19,Current,"Oct 25, 2016",118.15,Active
480,2864,191,Credit Card,27-09-2019,26.15,Active
481,1225,136,Loan,18-06-2023,409.6,Active
482,439,44,Savings,12-02-2022,277.72,Active
483,699,149,Credit Card,"Mar 06, 2018",69.02,Closed
484,2470,200,Current,14-04-2021,387.14,Suspended
485,1686,79,Loan,04-03-2012,266.72,Suspended
486,641,40,Credit Card,05-03-2013,51.9,Suspended
487,1817,197,Current,16-11-2012,19.52,Active
488,2714,61,Loan,20-04-2025,58.9,Closed
489,1532,59,Savings,18-06-2025,49.66,Closed
490,2316,48,Current,13-07-2012,28.47,Active
491,2540,27,Current,10-02-2020,134.71,Active
492,66,12,Loan,10-07-2020,55.24,Active
493,853,9,Savings,28-02-2013,314.2,Closed
494,1085,66,Credit Card,01-09-2018,168.91,Closed
495,455,160,Savings,03-11-2021,175.57,Closed
496,860,58,Credit Card,01-11-2015,36.7,Closed
497,2670,145,Current,15-04-2022,449.17,Suspended
498,1508,41,Credit Card,"Jan 03, 2017",18.95,Closed
499,1383,132,Credit Card,04-07-2013,46.29,Closed
500,1330,172,Loan,03-12-2012,50.7,Suspended
501,1980,196,Savings,08-09-2018,35.11,Closed
502,2147,15,Credit Card,25-10-2019,58.06,Active
503,2872,38,Savings,23-02-2014,39.92,Active
504,921,84,Savings,24-06-2013,135.45,Suspended
505,917,41,Credit Card,29-01-2012,61.43,Closed
506,599,158,Credit Card,28-11-2021,218.58,Closed
507,445,18,Credit Card,15-06-2019,54.22,Active
508,1309,134,Credi tCard,26-10-2019,72.26,Suspended
509,3192,129,Savings,27-01-2019,8.03,Suspended
510,3219,196,Current,07-05-2022,23.58,Active
511,1530,42,Credit Card,05-03-2024,388.09,Active
512,2972,189,Credit Card,06-05-2019,195.67,Closed
513,2927,2,Credit Card,07-07-2018,106.99,Closed
514,555,193,Current,10-06-2013,32.6,Suspended
515,1217,68,Current,26-12-2024,50.12,Active
516,1659,90,Credit Card,02-08-2021,148.51,Suspended
517,1680,144,Current,15-09-2017,467.61,Closed
518,2505,29,Lona,30-01-2025,26.34,Active
519,2833,82,Loan,03-02-2017,85.95,Active
520,1682,153,Savings,25-06-2023,57.63,Active
521,2579,40,Credit Card,05-12-2015,29.42, Active
522,949,1,Credit Card,03-12-2020,48.82,Closed
523,1668,149,Savings,23-05-2016,74.53, Active
524,3827,92,Current,12-12-2022,28.87,Suspended
525,465,41,Credit Card,27-03-2017,37.36,Active
526,1176,173,Credit Card,15-01-2019,26.63,Closed
