card_id,customer_id,card_type,limit_amount,issue_date,is_active
86,4004,Visa,129837.54,22-04-2023,1
87,275,Amex,106353.01,10-08-2021,1
88,3728,RuPay,200848.19,16-10-2014,1
89,4035,Visa,223609.78,21-06-2024,1
90,4016,Visa,104025.01,28-12-2020,1
91,4016,MasterCard,92606.85,19-03-2017,1
92,4031,RuPay,146333.95,02-03-2023,1
93,4025,MasterCard,"70,795.70",03-07-2016,1
94,2905,Visa,154197.99,17-12-2016,1
95,4039,RPuay,107213.54,06-09-2014,0
96,4016,mAex,116945.67,24-01-2022,0
97,4024,MasterCard,150258.45,20-12-2019,1
98,4011,RuPay,67560.65,08-01-2023,1
99,4017,RuPay,192752.87,15-02-2019,1
100,4032,MasterCard,95968.46,26-09-2016,1
101,4022,RuPay,183019.28,24-01-2015,1
102,4007,RuPay,296980.76,09-07-2022,1
103,4028,Amex,14940.63,23-09-2014,0
104,4020,Visa,96104.51,22-02-2019,1
105,4002,Visa,166857.63,06-12-2020,1
106,4021,MasterCard,84689.86,17-01-2023,1
107,4023,RuPay,193966.93,26-10-2018,1
108,4030,MasterCard,101769.92,"Apr 13, 2021",1
109,4031,RuPay,167156.27,07-04-2014,1
110,4009,RuPay,230211.39,15-07-2018,0
111,4024,Amex,124217.82,31-07-2020,1
112,4018,MasterCard,125456.21,05-11-2021,1
113,4028,RuPay,128090.49,11-08-2014,1
114,4008,Amex,137682.96,02-01-2019,0
115,4027,Amex,50947.02,23-03-2015,0
116,4030,MasterCard,122617.14,03-02-2021,1
117,4035,Visa,132147.83,19-06-2015,1
118,4009,RuPay,99290.37,15-08-2025,0
119,4017,MasterCard,251666.47,27-10-2016,1
120,4013,Visa,165463.89,10-02-2024,1
121,4036,Amex,231799.07,15-10-2017,0
122,4039,Amex,58996.75,20-11-2014,1
123,4011,Visa,93718.03,20-05-2023,1
124,4011,Visa,236301.8,"Aug 21, 2015",1
125,4005,Visa,126380.01,30-05-2019,1
126,4014,Amex,169948.85,16-04-2024,1
127,4003,MasterCard,277712.82,19-05-2015,1
128,4004,Visa,115965.35,17-05-2022,1
129,4038,MasterCard,129956.91,23-05-2020,1
130,4032,MasterCard,20792.8,16-10-2018,1
131,4024,RuPay,-209887.71,22-01-2025,1
132,4012,Amex,140675.53,27-12-2022,1
133,4003,RuPay,82601.35,01-08-2018,0
134,4005,MasterCard,124794.94,10-06-2019,NO
135,4015,Visa,6734.16,07-04-2014,1
136,4009,RuPay,8512.91,18-12-2017,1
137,4007,RuPay,45056.27,14-06-2015,0
138,4015,RuPay,79178.32,11-04-2024,0
139,4018,RPuay,196311.73,"Jan 08, 2024",1
140,4040,Visa,58986.68,02-10-2022,1
141,4032,Amex,-41184.95,13-02-2025,1
142,4017,Amex,49355.7,30-11-2021,1
143,4034,RuPay,"1,41,512.68",06-09-2020,0
144,4020,Amex,214970.35,12-11-2019,1
145,4035,Amex,63122.39,28-06-2023,1
146,4022,MasterCard,199003.61,27-03-2025,0
147,4027,RuPay,181230.65,09-07-2014,1
148,4017,MasterCard,77325.84,26-02-2019,1
149,4027,Visa,23269.5,22-12-2018,0
150,4034,RuPay,190591.99,11-07-2024,1
151,4036,Visa,25014.67,13-06-2022,0
152,4002,Amex,146499.94,12-07-2025,0
153,4013,Amex,39034.55,17-07-2024,1
154,4015,uRPay,70336.39,28-07-2018,1
155,4023,Visa,150911.67,15-05-2019,1
156,4003,Visa,85582.54,16-10-2025,0
157,4003,RuPay,104870.34,06-11-2016,1
158,4039,MasterCard,191050.53,28-12-2024,1
159,4003,Amex,54189.8,09-09-2018,1
160,4016,RuPay,33791.66,28-03-2023,1
161,4008,MasterCard,64138.26,14-11-2024,1
162,4008,RuPay,46419.15,11-05-2021,1
163,4011,Amex,176591.47,11-06-2014,0
164,4033,RuPay,163560.79,16-03-2025,1
165,4007,Amex,179906.4,"Aug 30, 2020",1
166,3263,Visa,103659.18,31-08-2019,1
167,4017,Visa,31391.06,"Sep 01, 2022",1
168,4021,RuPay,22109.19,03-07-2020,1
169,4037,Amex,147989.24,31-01-2015,1
170,4011,Amex,169553.11,09-04-2014,NO
171,4033,Amex,146338,13-11-2021,1
172,4022,Amex,100595.05,06-10-2016,1
173,4028,Amex,154693.22,30-04-2015,1
174,4028,Amex,"51,767.50",08-06-2014,0
175,4035,Amex,238750.76,08-03-2023,1
176,4031,MasterCard,114838.14,14-04-2016,1
177,4007,MasterCard,102152.24,16-11-2015,FALSE
178,4018,Amex,101783.23,18-12-2018,1
179,4020,Visa,195732.18,03-05-2022,1
180,4035,MasterCard,"1,41,108.85",11-05-2024,1
181,4018,MasterCard,69447.98,15-07-2017,1
182,4020,MasterCard,143002.59,30-01-2020,1
183,4040,MasterCard,141626.31,15-09-2022,1
184,4039,Visa,28208.85,12-07-2020,1
185,4030,MasterCard,"95,150.91",20-01-2025,0
186,4023,Amex,37747.2,28-12-2016,1
187,4031,RuPay,195089.37,04-08-2022,1
188,4040,Visa,141030.24,29-11-2020,1
189,4008,Visa,"66,174.60",21-12-2023,1
190,4021,Amex,101753.9,24-12-2021,1
191,4024,RuPay,93083.94,14-04-2018,1
192,4012,MasterCard,151110.86,12-08-2014,0
193,4018,MasterCard,139874.86,04-03-2017,0
194,4033,Visa,211048.7,18-07-2024,1
195,4040,MasterCard,213860.26,02-12-2023,1
196,4035,Amex,83827.61,06-06-2020,1
197,4031,RuPay,163718.86,20-07-2025,0
198,4008,MasterCard,37074.08,07-11-2014,0
199,4029,MasterCard,95552.03,11-08-2019,1
200,4009,Visa,26774.11,15-06-2021,1
201,4033,MasterCard,56822.67,25-03-2024,1
202,4031,Amex,172461.13,01-10-2020,1
203,4028,MasterCard,107086.66,30-09-2020,1
204,4022,Amex,2872.26,26-06-2021,0
205,4001,RuPay,160100.95,26-12-2019,1
206,4020,Amxe,175293.33,29-05-2019,1
207,4035,MasterCard,132364.76,13-01-2017,1
208,4002,MasterCard,75361.52,05-03-2015,1
209,4003,Visa,159135.91,11-03-2024,1
210,4010,RuPay,94325.49,02-09-2021,1
211,4028,Amex,47473.2,30-10-2019,1
212,4029,Visa,181835.74,11-08-2024,1
213,4023,Visa,154454.78,16-02-2025,1
214,4009,Amex,109674.19,22-06-2018,0
215,4003,Visa,6136.46,25-06-2014,1
216,4007,Amex,11126.88,07-12-2016,0
217,4022,Amex,46010.75,26-06-2019,0
218,4040,RuPay,125197.28,02-12-2014,0
219,4016,MasterCard,207248.42,09-08-2019,1
220,4016,MasterCard,83714.62,"Jun 16, 2016",1
221,4026,Visa,101095.8,19-10-2016,1
222,4026,Amex,142773.48,25-04-2022,0
223,4018,Amex,37707.27,11-10-2018,0
224,4002,Visa,12121.88,"Apr 20, 2023",0
225,4002,RuPay,264407.61,"Aug 29, 2024",1
226,4025,Visa,154019.97,10-06-2020,1
227,4026,MasterCard,173344.11,28-11-2020,1
228,4027,MasterCard,4228.9,09-10-2024,1
229,4004,RuPay,81496.73,24-01-2016,1
230,4023,Amex,72416.11,15-10-2019,0
231,4037,MasterCard,201351.84,31-08-2022,1
232,4024,RuPay,51871.84,03-12-2024,YES
233,4039,RuPay,-249278.88,21-08-2021,TRUE
234,4008,RuPay,111070.25,20-08-2024,1
235,4024,MasterCard,266575.91,13-02-2023,1
236,4038,MasterCard,188628.75,04-03-2021,1
237,4035,Amex,127109.8,19-07-2017,1
238,4011,MatserCard,170962.15,24-10-2015,0
239,4010,RuPay,155010.63,01-11-2015,1
240,4020,Amex,19889.99,"May 09, 2022",1
241,4030,Visa,8746.79,24-08-2016,1
242,4019,Amex,58620.16,15-04-2014,1
243,4012,Amex,51073.8,31-05-2024,1
244,4001,mAex,154689.1,22-02-2023,1
245,4022,Amex,82409.09,10-06-2017,1
246,4026,MasterCard,"86,159.98",06-02-2025,1
247,4012,MasterCard,"37,622.83",20-09-2020,0
248,4013,Amex,222013.09,30-01-2022,1
249,4007,Vsia,44153.76,18-04-2016,1
250,4038,RuPay,219328.67,31-01-2023,1
251,4007,Visa,169151.71,23-02-2018,1
252,4006,MasterCard,32980.91,24-10-2014,1
253,4012,Visa,"92,193.84",31-05-2015,1
254,4008,RuPay,90416.68,13-01-2015,1
255,4023,Amex,293579.92,10-03-2022,0
256,4019,Amex,19571.23,05-01-2025,1
257,4035,Amex,143435.9,31-07-2020,1
258,4001,Amex,245342.86,01-05-2014,0
259,4018,Amex,84013.53,02-05-2016,0
260,4019,MasterCard,141182.68,14-02-2016,1
261,4023,Amex,99298.3,21-10-2018,1
262,4013,MasterCard,135968.99,15-03-2016,1
263,4036,Amex,72553.36,19-03-2015,1
264,4015,MasterCard,60128.49,09-02-2014,0
265,4004,Amex,133556.22,01-05-2017,YES
266,4002,MasterCard,63036.59,21-08-2020,1
267,4016,RuPay,216074.22,"Nov 11, 2019",1
268,4011,RuPay,100640.6,17-12-2018,1
269,4034,RuPay,75548.42,"Dec 11, 2022",1
270,4013,Amex,201445.54,12-07-2023,1
271,4001,RuPay,225771.35,"Jan 27, 2017",1
272,4019,RuPay,173526.88,08-04-2016,0
273,4019,Amex,223563.24,24-03-2025,1
274,4038,Visa,34704.01,03-06-2025,1
275,4029,MasterCard,49305.89,30-04-2021,1
276,4039,Amex,224709.43,21-06-2025,0
277,4039,Amex,295623.89,25-08-2023,1
278,4026,Visa,98400.8,12-01-2024,1
279,4005,RuPay,168269.61,22-11-2019,0
280,4025,RuPay,"56,137.05",22-07-2024,0
281,4036,RuPay,159917.98,06-11-2024,1
282,4028,Visa,153757.95,"Jun 05, 2019",1
283,4004,Amex,66601.96,19-05-2014,0
284,4006,RuPay,210178.27,20-10-2021,0
285,4003,RuPay,107402.09,17-03-2014,1
286,4013,RuPay,159407.31,16-02-2014,1
287,4022,Amxe,"81,083.40",04-07-2015,1
288,4012,Amex,93081.29,12-11-2021,1
289,4019,RuPay,194818.49,29-07-2025,1
290,4024,Visa,192154.92,11-03-2022,1
291,4038,MasterCard,86755.33,26-04-2016,1
292,4038,RuPay,138961.78,14-09-2017,1
293,4001,Amex,19742.14,09-05-2017,1
294,4017,RuPay,181305.18,10-02-2014,1
295,4004,Visa,227035.46,"Oct 07, 2021",1
296,4007,Amex,51878.06,09-04-2023,1
297,4006,Visa,207295.19,02-06-2014,1
298,4024,RuPay,-43248.34,04-09-2021,1
299,4002,Amex,34465.3,19-06-2024,1
300,4017,RuPay,156778.67,25-11-2014,1
301,4014,Visa,125349.66,11-02-2017,1
302,4022,Amex,80408.81,25-11-2018,1
303,4023,Amex,94252.89,17-07-2014,1
304,4026,RuPay,94439.52,15-03-2022,1
305,4013,MasterCard,33071.47,19-12-2023,1
306,4025,Amex,52701.14,16-10-2015,1
307,4002,RuPay,77378.4,14-03-2024,1
308,4018,Visa,263394.38,13-06-2025,0
309,4010,MasterCard,133038.55,21-06-2020,1
310,2838,MasterCard,"1,45,014.67","Oct 12, 2022",1
311,4018,MasterCard,49216.97,08-09-2017,1
312,4020,Visa,117546.88,07-03-2022,1
313,4008,Visa,134665.08,30-11-2019,1
314,4001,Visa,86478.24,30-04-2014,1
315,4035,Visa,130421.69,17-04-2014,0
316,4036,RuPay,156181.42,13-09-2015,1
317,4029,Amex,125039.97,18-04-2023,0
318,4009,Visa,57399.5,27-12-2021,1
319,4023,Visa,204209.78,"Dec 26, 2022",1
320,4039,RuPay,53137.75,07-02-2014,0
321,4003,RuPay,82339.92,20-11-2015,0
322,4027,MasterCard,91460.46,06-07-2016,1
323,4022,RuPay,182316.15,21-10-2023,0
324,4036,Amex,221915.81,11-03-2023,1
325,4037,Amex,"1,16,609.92",07-07-2016,0
326,4022,mAex,331941.33,23-08-2022,0
327,4034,RuPay,20429.67,02-02-2016,1
328,4005,Amex,171824.59,29-05-2016,0
329,4001,Visa,80823.35,04-06-2019,1
330,4010,MasterCard,60291.7,"Apr 30, 2025",0
331,4008,Visa,119037.85,10-04-2024,1
332,4027,Visa,207033.26,10-07-2018,1
333,4023,MasterCard,"1,00,380.48",11-02-2015,1
334,4040,MasteraCrd,185413.24,04-07-2020,1
335,4022,Visa,136447.15,01-06-2024,1
336,4019,RuPay,143548.55,01-12-2022,0
337,4016,RuPay,293815.7,05-10-2023,1
338,4020,MasterCard,121078.65,28-12-2020,1
339,4004,Visa,13913.38,11-07-2014,1
340,4002,Visa,202381.76,09-04-2020,1
341,4017,Visa,75301.68,29-10-2022,1
342,4009,Visa,25523.12,10-08-2015,1
343,4022,Amex,64662.08,"Jul 17, 2021",1
344,4029,Visa,233565.42,27-11-2019,1
345,4013,MasterCard,239707.85,20-10-2017,0
346,4009,Visa,104777.1,13-01-2014,1
347,4007,RuPay,179481.24,"Apr 27, 2017",1
348,4031,Amex,75964.53,21-01-2023,1
349,4039,RuPay,99842.02,11-02-2017,1
350,4003,Amex,12456.88,13-01-2019,1
351,4003,RPuay,177609.66,"Jul 21, 2021",1
352,4008,RuPay,10801.62,18-12-2020,1
353,4026,Amxe,126901.2,26-06-2017,1
354,4019,RuPay,-161265.38,02-05-2023,1
355,4024,Visa,133138.24,10-10-2023,1
356,4038,mAex,126824.54,30-05-2016,1
357,4014,Visa,78117.79,13-02-2022,1
358,4039,MasterCard,91877.64,04-08-2024,1
359,4021,Amex,149830.91,22-02-2018,1
360,4036,Visa,32888.01,21-02-2019,0
361,4005,Amex,155532.52,"Sep 28, 2025",1
362,4029,Amex,114084.44,21-08-2015,1
363,4005,MasterCard,69050.28,28-09-2021,1
364,4011,RuPay,51271.29,05-07-2020,0
365,4029,MasterCard,70980.75,15-01-2023,0
366,4039,MasterCard,32871.07,18-08-2017,1
367,4009,Amex,163345.67,19-12-2022,1
368,4012,RuPay,271891.97,12-05-2017,1
369,4016,RuPay,125089.37,26-11-2014,1
370,4029,MasterCard,138219.29,26-02-2015,1
371,4008,Amex,170446.83,05-01-2024,0
372,4038,MasterCard,176896.14,15-05-2018,1
373,4038,Visa,39670.11,16-09-2025,1
374,4002,MasterCard,88869.72,23-03-2024,1
375,4020,RuPay,51166.82,31-01-2021,0
376,4029,iVsa,243320.73,27-05-2025,1
377,4037,Visa,207596.44,18-09-2019,1
378,4012,MasterCard,154192.71,22-07-2021,0
379,4024,MasterCard,181646.37,06-04-2016,1
380,4016,MasterCard,36742.43,15-01-2020,1
381,4005,Visa,25038.61,05-04-2016,0
382,4024,Amex,59525.3,18-08-2023,1
383,4002,Amex,238860.81,15-04-2024,0
384,4024,MasterCard,90284.12,22-09-2022,0
385,4020,RuPay,106972.73,11-03-2021,1
386,4021,Amex,100944.12,18-06-2017,1
387,4013,MasterCard,104553.67,16-04-2019,1
388,4009,MasterCard,67342.67,31-03-2018,1
389,4009,Amex,215341.18,04-11-2022,0
390,4015,Visa,30562.95,28-11-2021,0
391,4021,Visa,14117.41,15-06-2024,1
392,4029,Amex,220562.41,"Oct 14, 2022",1
393,4025,Amex,93814.57,25-06-2022,1
394,4032,Amex,12218.43,25-12-2021,1
395,4016,MasterCard,"1,21,738.44",04-06-2019,1
396,4029,MasterCard,195742.44,"May 23, 2016",1
397,4019,Visa,122169.01,01-07-2023,1
398,4014,MasterCard,180812.58,09-05-2023,1
399,4031,Visa,48031.48,05-10-2025,1
400,4020,uRPay,165039.68,21-02-2017,1
401,4021,RuPay,139022.3,"Apr 24, 2016",1
402,4032,Visa,214179.67,07-12-2015,1
403,4023,Amex,54190.15,16-09-2015,0
404,4038,RuPay,68914.39,"Jun 15, 2020",1
405,4007,Amex,171829.07,27-01-2025,0
406,4030,Amex,150682.25,06-09-2020,1
407,3688,RuPay,"1,34,782.05",03-12-2019,1
408,4007,MasterCard,141680.96,14-04-2023,1
409,4023,MasterCard,154451.42,"Jan 17, 2014",1
410,4007,RuPay,67521.14,09-02-2025,1
411,4039,Visa,98583.15,09-06-2014,1
412,4030,MasterCard,84775.08,07-01-2017,1
413,4010,RuPay,130474.19,"Jul 20, 2018",0
414,4003,Visa,113504.9,27-09-2021,0
415,4012,MasterCard,130256.76,12-12-2020,1
416,4008,MasterCard,66547.24,08-01-2023,1
417,4017,Amex,189183.33,02-01-2024,1
418,4021,RuPay,156319.1,05-06-2014,1
419,4003,Visa,"43,615.40",08-12-2023,0
420,4030,RuPay,182002.1,08-11-2020,0
421,4014,RuPay,116340.26,22-08-2022,1
422,4006,MasterCard,-126647.04,07-06-2015,1
423,4021,Visa,115482.59,29-07-2025,1
424,4034,Amex,98808.02,12-09-2014,1
425,4018,MasterCard,45363.84,"May 06, 2017",0
426,4039,iVsa,98946.7,05-04-2015,1
427,4017,RuPay,"79,490.49",17-11-2019,TRUE
428,1455,Amex,17469.64,06-07-2015,1
429,4018,MasterCard,155628.2,22-05-2018,1
430,4037,Visa,-143371.53,31-07-2015,1
431,4007,Visa,72712.2,29-10-2019,1
432,4027,MasterCard,277877.95,08-01-2021,1
433,4016,Visa,77296.01,02-03-2019,1
434,4017,Visa,160894.45,05-07-2020,1
435,4007,Amex,83710.98,04-04-2016,1
436,4027,Amex,125248.64,02-08-2016,1
437,4033,MasterCard,222507.13,29-02-2016,1
438,4023,Amex,236147.43,14-12-2022,1
439,4015,Amex,11639.82,23-02-2018,1
440,4035,RuPay,175717.43,11-09-2022,1
441,4026,RuPay,229400.02,23-01-2017,1
442,4017,Visa,186141.72,09-06-2024,0
443,4034,RuPay,244607.19,09-03-2025,1
444,4014,RuPay,64893.71,06-04-2018,0
445,4009,RuPay,125069.76,01-03-2024,0
446,4023,RuPay,"1,15,068.84","Mar 13, 2018",0
447,4035,Visa,135571.99,14-06-2025,1
448,4030,RuPay,273614.19,03-10-2020,1
449,4003,Visa,123300.7,09-04-2019,1
450,4004,Visa,35850,09-12-2019,1
451,4033,Amex,110861.4,26-11-2019,1
452,4028,RuPay,157554.67,30-08-2021,1
453,4038,RuPay,136082.28,07-06-2016,1
454,4031,Amex,52264.2,26-12-2023,1
455,4030,RuPay,177419.17,30-12-2023,1
456,4026,RuPay,99631.73,21-03-2018,1
457,4013,RuPay,226125.06,16-10-2018,1
458,4007,RuPay,84866.08,25-03-2014,1
459,4037,Amex,184672.07,15-06-2023,1
460,4009,Amex,159467.88,27-04-2024,0
461,4014,MasterCard,188639.38,21-05-2014,0
462,4016,RuPay,190579.41,12-05-2017,1
463,4023,RuPay,67280.04,03-10-2021,1
464,4005,Visa,144313.77,10-12-2016,0
465,4040,RuPay,184026.49,10-12-2017,1
466,4026,MasterCard,106126.34,27-12-2019,0
467,4032,Amex,75013.79,26-03-2019,1
468,4001,RuPay,146951.1,29-05-2019,1
469,4003,MasterCard,9542.4,27-12-2014,1
470,4008,Amex,"71,724.35",14-11-2023,1
471,4015,Amex,74900.5,"Nov 06, 2020",1
472,4035,Visa,63327.02,12-11-2021,1
473,4029,RuPay,36971.57,02-04-2024,0
474,4039,MasterCard,209558.22,12-08-2022,1
475,4023,MasterCard,183731.29,16-05-2023,1
476,4003,Amex,132845.06,02-01-2014,1
477,4019,Amex,124754.41,26-12-2022,1
478,4018,MasterCard,229977.13,20-05-2015,1
479,4023,MasterCard,237359.43,23-10-2025,1
480,4013,Amex,198607.13,04-12-2020,1
481,4026,MasterCard,261319.81,04-04-2022,0
482,4034,RPuay,18779.76,24-09-2014,1
483,4003,Amex,57280.44,22-09-2018,1
484,4014,Visa,115718.06,"Dec 03, 2015",1
485,4029,MasterCard,"1,08,443.60",15-11-2015,1
486,4023,Amex,211749.52,27-06-2019,1
487,4040,RuPay,74811.3,"Feb 16, 2022",0
488,4016,Amex,37148.79,04-04-2023,1
489,4021,Amex,99964.55,30-06-2025,0
490,4013,RuPay,73613.51,07-09-2021,1
491,4025,Visa,114151.29,06-03-2018,1
492,4030,MasterCard,77153.42,20-10-2017,0
493,4007,Amex,237515.05,"Jan 19, 2019",1
494,4012,Amex,55134.58,12-03-2025,0
495,4011,Amex,43597.03,19-02-2021,1
496,4022,RuPay,243077.85,05-01-2018,1
497,4012,Visa,21776.94,15-03-2022,0
498,4010,MasterCard,162744.42,06-07-2017,1
499,4039,MasterCard,35803.86,"Jan 09, 2024",1
500,4040,Visa,242703.29,26-01-2014,YES
501,4038,RuPay,95987.13,13-07-2019,0
502,4008,Amex,114353.16,18-02-2024,1
503,4036,Visa,115335.97,"Aug 27, 2018",0
504,4032,Visa,11147.8,"Apr 19, 2016",1
505,4021,RuaPy,108068.68,03-01-2024,1
506,4037,Visa,145189.07,21-03-2025,1
507,4033,Amex,183001.94,09-11-2017,1
508,4032,Amex,114006.29,03-09-2014,1
509,4036,Amex,215829.04,09-01-2016,1
510,4037,Visa,194224.03,07-09-2015,1
511,4018,Amex,229314.1,28-02-2019,1
512,4010,Amex,216472.97,05-04-2015,1
513,4002,RuPay,158309.2,26-04-2019,1
514,4025,Visa,"65,338.93",21-09-2017,1
515,4002,Amex,193103.14,20-03-2014,1
516,4007,Visa,108882.34,25-01-2019,1
517,4032,MasterCard,114963.71,04-06-2014,1
518,4023,Amex,38496.9,31-12-2024,1
519,4038,RuPay,313632.89,01-02-2018,1
520,4030,Amex,125744.72,06-06-2025,1
521,4017,MasterCard,41012.11,"Apr 13, 2019",1
522,4018,Amex,184756.74,17-03-2020,1
523,2621,Amex,153106.58,13-02-2021,1
524,4016,Visa,151485.79,09-09-2015,1
525,4022,MasterCard,100519.78,29-03-2015,1
526,4013,Amex,80273.81,01-05-2014,1
527,4008,Amex,133041.62,20-11-2016,1
528,4009,MsaterCard,74947.2,22-08-2019,1
529,4029,MasterCard,107981.72,07-12-2016,0
530,4024,RuPay,106108.35,19-09-2025,1
531,4009,Visa,130090.48,20-11-2015,1
532,4027,Visa,126505.45,22-08-2017,1
533,4027,MasterCard,127181.65,23-12-2020,1
534,4001,Visa,130155.22,02-04-2022,1
535,4003,RuPay,242092.3,21-04-2015,1
536,4014,RuPay,11971.64,"Aug 30, 2014",1
537,4006,Visa,213219.32,09-07-2019,1
538,4032,MasterCard,277369.09,02-10-2020,1
539,4006,RuPay,94787.67,05-02-2018,1
540,4040,Amex,168654.02,14-12-2016,0
541,4031,Amex,208046.18,22-02-2023,0
542,4032,Aemx,15861.07,04-06-2023,TRUE
543,4016,Visa,140949.49,16-10-2019,1
544,4020,Visa,208994.11,16-03-2022,1
545,4038,Amex,219086.32,24-02-2019,1
546,4026,MasterCard,95025.42,29-05-2024,0
547,4012,Amex,86430.94,18-10-2017,1
548,4035,Vsia,151522.11,15-04-2019,1
549,4004,RuPya,149543.97,12-02-2025,TRUE
550,4023,MasterCard,237459.49,08-08-2018,1
551,4023,Amxe,14869.35,29-06-2016,1
552,4034,MasterCard,78531.32,09-07-2025,0
553,4029,Amex,167274.59,18-06-2014,1
554,4004,Amex,125803.33,15-11-2023,1
555,4012,RuPay,146541.41,05-08-2015,1
556,4023,MasterCard,177194.28,20-01-2015,1
557,4021,Amex,177018.25,19-03-2019,1
558,4035,MasterCard,75674.3,08-08-2025,1
559,4021,Amex,156414.13,08-08-2017,1
560,4011,MasterCard,202444.53,05-03-2022,1
561,4026,Amex,85394.5,09-08-2015,0
562,4029,RuPay,168858.23,23-08-2014,1
563,4001,Visa,84730.73,28-07-2019,1
564,4030,Amex,255782.79,28-06-2024,0
565,4028,Visa,133417.95,"Oct 03, 2024",1
566,4031,RuPay,188442.06,04-12-2015,1
567,4007,Amex,286797.93,14-08-2016,0
568,4007,Visa,62796.8,19-08-2021,1
569,4008,Visa,34761.51,11-03-2025,0
570,4013,MasterCard,243679.94,18-03-2016,1
571,4022,Visa,119848.82,30-11-2022,1
572,4028,RuPay,32234.46,07-01-2015,1
573,4019,RuPay,62076.32,04-01-2015,0
574,4002,MasterCard,2445.38,06-08-2017,1
575,4006,MasterCard,1336.24,10-09-2015,1
